Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.8 0.17454 -0.277222 5.99497 68358 1.0000007 283527 104934 5 2 506469.27 9.38524 22.1003 22.8 93 1052074 227761 40870 0 0 0 0 0 0 0 553 311636 16989
22.806625 0.17454 -0.276528 5.995 68359 1.0000007 283442 104882 4 2 504859.45 9.38524 22.1003 22.806625 96 1052945 228273 41138 1 0 0 0 0 0 0 553 311552 16935
22.813375 0.17454 -0.275822 5.99503 68361 1.0000007 283510 104922 5 2 506707.77 9.38524 22.1003 22.813375 90 1053050 228349 41100 2 0 0 0 0 0 0 553 311632 16997
22.82 0.17454 -0.275129 5.99506 68362 1.0000007 283691 105099 5 2 501550.36 9.38524 22.1003 22.82 94 1055502 229378 40863 3 0 0 0 0 0 0 553 311811 16824
22.826625 0.17454 -0.274436 5.9951 68364 1.0000007 283476 104934 5 2 510285.16 9.38524 22.1003 22.826625 87 1054313 228974 41312 4 0 0 0 0 0 0 553 311559 17117
22.833375 0.17454 -0.27373 5.99513 68365 1.0000007 283598 105000 6 2 501282.05 9.38524 22.1003 22.833375 91 1056397 228815 41181 5 0 0 0 0 0 0 553 311707 16815
22.84 0.17454 -0.273036 5.99516 68367 1.0000007 283660 105051 6 2 508824.39 9.38524 22.1003 22.84 98 1056290 229325 41273 6 0 0 0 0 0 0 553 311749 17068
22.846625 0.17454 -0.272343 5.99519 68368 1.0000007 283647 105073 5 2 504442.08 9.38524 22.1003 22.846625 91 1056479 228668 40867 7 0 0 0 0 0 0 553 311743 16921
22.853375 0.17454 -0.271637 5.99522 68369 1.0000007 283554 104974 6 2 506439.46 9.38524 22.1003 22.853375 98 1057935 229091 41166 8 0 0 0 0 0 0 553 311647 16988
22.86 0.17454 -0.270944 5.99525 68371 1.0000007 283550 105023 5 2 504650.76 9.38524 22.1003 22.86 101 1056044 229066 41171 9 0 0 0 0 0 0 553 311650 16928
22.866625 0.17454 -0.27025 5.99529 68372 1.0000007 283623 105038 6 2 500119.4 9.38524 22.1003 22.866625 95 1056105 229818 41047 10 0 0 0 0 0 0 553 311729 16776
22.873375 0.17454 -0.269544 5.99532 68374 1.0000007 283602 105008 5 2 502444.71 9.38524 22.1003 22.873375 100 1058460 230424 41219 11 0 0 0 0 0 0 553 311718 16854
22.88 0.17454 -0.268851 5.99535 68375 1.0000007 283601 105017 5 2 512014.23 9.38524 22.1003 22.88 99 1058978 230358 41582 12 0 0 0 0 0 0 553 311706 17175
22.886625 0.17454 -0.268158 5.99538 68377 1.0000007 283950 105207 5 2 510493.84 9.38524 22.1003 22.886625 94 1060886 230015 41220 13 0 0 0 0 0 0 553 312062 17124
22.893375 0.17454 -0.267451 5.99541 68378 1.0000007 283981 105248 6 2 509927.42 9.38524 22.1003 22.893375 95 1059112 230471 41418 14 0 0 0 0 0 0 553 312088 17105
22.9 0.17454 -0.266758 5.99544 68380 1.0000007 283878 105230 5 2 514309.72 9.38524 22.1003 22.9 99 1063330 230406 41425 15 0 0 0 0 0 0 553 311973 17252
22.906625 0.17454 -0.266065 5.99547 68381 1.0000007 283947 105257 5 2 505813.42 9.38524 22.1003 22.906625 88 1060564 230224 41319 16 0 0 0 0 0 0 553 312070 16967
22.913375 0.17454 -0.265358 5.9955 68383 1.0000007 283912 105138 6 2 507154.94 9.38524 22.1003 22.913375 88 1060885 229995 41283 17 0 0 0 0 0 0 553 312031 17012
22.92 0.17454 -0.264665 5.99554 68384 1.0000007 283830 105186 5 2 506797.2 9.38524 22.1003 22.92 90 1063573 231455 41504 18 0 0 0 0 0 0 553 311948 17000
22.926625 0.17454 -0.263972 5.99557 68386 1.0000007 283763 105112 5 2 506737.58 9.38524 22.1003 22.926625 88 1061458 230941 41433 19 0 0 0 0 0 0 553 311870 16998
22.933375 0.17454 -0.263266 5.9956 68387 1.0000007 283698 105093 6 2 504233.4 9.38524 22.1003 22.933375 88 1062148 231363 41349 20 0 0 0 0 0 0 553 311802 16914
22.94 0.17454 -0.262572 5.99563 68389 1.0000007 283732 105030 6 2 509420.62 9.38524 22.1003 22.94 94 1062659 230439 41732 21 0 0 0 0 0 0 553 311857 17088
22.946625 0.17454 -0.261879 5.99566 68390 1.0000007 283688 105031 5 2 514727.09 9.38524 22.1003 22.946625 95 1064247 232243 41823 22 0 0 0 0 0 0 553 311820 17266
