Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 41678 1.0000007 282066 103588 7 2 560636.95 9.3867431 22.1003 23.1 107 1167914 254198 45446 0 0 0 0 0 0 0 553 309932 18806
23.106625 0.194824 -0.24588 5.99667 41679 1.0000007 282104 103620 6 2 549278.73 9.3867431 22.1003 23.106625 102 1169570 253635 45391 1 0 0 0 0 0 0 553 309925 18425
23.113375 0.194824 -0.245173 5.9967 41681 1.0000007 282237 103735 7 2 560726.38 9.3867431 22.1003 23.113375 95 1172172 254958 45698 2 0 0 0 0 0 0 553 310076 18809
23.12 0.194824 -0.24448 5.99673 41682 1.0000007 282342 103801 5 2 565138.5 9.3867431 22.1003 23.12 115 1170437 255264 45618 3 0 0 0 0 0 0 553 310167 18957
23.126625 0.194824 -0.243787 5.99676 41684 1.0000007 282365 103817 6 2 561561.11 9.3867431 22.1003 23.126625 95 1172135 255186 45855 4 0 0 0 0 0 0 553 310187 18837
23.133375 0.194824 -0.24308 5.99679 41685 1.0000007 282283 103782 5 2 568537.02 9.3867431 22.1003 23.133375 96 1170394 255432 46175 5 0 0 0 0 0 0 553 310134 19071
23.14 0.194824 -0.242387 5.99682 41687 1.0000007 282360 103841 7 2 559384.86 9.3867431 22.1003 23.14 98 1171597 254367 45801 6 0 0 0 0 0 0 553 310213 18764
23.146625 0.194824 -0.241693 5.99684 41688 1.0000007 282392 103827 6 2 568537.02 9.3867431 22.1003 23.146625 106 1171026 254722 45666 7 0 0 0 0 0 0 553 310224 19071
23.153375 0.194824 -0.240987 5.99687 41690 1.0000007 282500 103920 5 2 571249.88 9.3867431 22.1003 23.153375 107 1173399 255875 46132 8 0 0 0 0 0 0 553 310340 19162
23.16 0.194824 -0.240293 5.9969 41691 1.0000007 282391 103913 6 2 567881.17 9.3867431 22.1003 23.16 95 1171179 255547 46132 9 0 0 0 0 0 0 553 310233 19049
23.166625 0.194824 -0.2396 5.99693 41693 1.0000007 282258 103849 5 2 557298.05 9.3867431 22.1003 23.166625 98 1172698 255088 45582 10 0 0 0 0 0 0 553 310106 18694
23.173375 0.194824 -0.238894 5.99696 41694 1.0000007 282311 103871 5 2 563349.81 9.3867431 22.1003 23.173375 104 1170673 254389 45630 11 0 0 0 0 0 0 553 310147 18897
23.18 0.194824 -0.2382 5.99698 41696 1.0000007 282365 103843 6 2 564691.33 9.3867431 22.1003 23.18 98 1171042 254746 46087 12 0 0 0 0 0 0 553 310212 18942
23.186625 0.194824 -0.237507 5.99701 41697 1.0000007 282224 103751 5 2 553273.48 9.3867431 22.1003 23.186625 101 1171259 254492 45429 13 0 0 0 0 0 0 553 310065 18559
23.193375 0.194824 -0.2368 5.99704 41699 1.0000007 282447 103968 5 2 562962.25 9.3867431 22.1003 23.193375 96 1173946 254781 45725 14 0 0 0 0 0 0 553 310273 18884
23.2 0.194824 -0.236107 5.99707 41700 1.0000007 282290 103826 6 2 559832.04 9.3867431 22.1003 23.2 103 1171485 254810 45851 15 0 0 0 0 0 0 553 310127 18779
23.206625 0.194824 -0.235413 5.99709 41702 1.0000007 282262 103860 7 2 566480.02 9.3867431 22.1003 23.206625 115 1171340 255782 45984 16 0 0 0 0 0 0 553 310099 19002
23.213375 0.194824 -0.234707 5.99712 41703 1.0000007 282198 103725 5 2 557834.66 9.3867431 22.1003 23.213375 98 1170345 255449 45388 17 0 0 0 0 0 0 553 310036 18712
23.22 0.194824 -0.234013 5.99715 41705 1.0000007 282216 103743 7 2 565764.54 9.3867431 22.1003 23.22 100 1172188 254552 46018 18 0 0 0 0 0 0 553 310057 18978
23.226625 0.194824 -0.23332 5.99718 41706 1.0000007 282193 103794 7 2 560130.15 9.3867431 22.1003 23.226625 102 1171686 254553 45809 19 0 0 0 0 0 0 553 310040 18789
23.233375 0.194824 -0.232613 5.9972 41708 1.0000007 282030 103555 5 2 566718.52 9.3867431 22.1003 23.233375 98 1170818 254403 45767 20 0 0 0 0 0 0 553 309872 19010
