Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23 -0.194824 -0.257039 5.99621 32033 0.5000007 142487 52620 5 2 259837.91 9.3867431 22.1003 23 77 520302 115138 20976 0 0 0 0 0 0 0 553 155959 8716
23.006625 -0.194824 -0.256346 5.99624 32034 0.5000007 142494 52617 4 2 254591.06 9.3867431 22.1003 23.006625 79 520286 114807 20744 1 0 0 0 0 0 0 553 155969 8540
23.013375 -0.194824 -0.255639 5.99627 32035 0.5000007 142465 52597 4 2 252981.24 9.3867431 22.1003 23.013375 85 520293 114897 20741 2 0 0 0 0 0 0 553 155945 8486
23.02 -0.194824 -0.254946 5.99629 32036 0.5000007 142516 52669 4 2 257482.79 9.3867431 22.1003 23.02 90 521421 115596 21161 3 0 0 0 0 0 0 553 155980 8637
23.026625 -0.194824 -0.254253 5.99632 32037 0.5000007 142563 52717 4 2 261656.41 9.3867431 22.1003 23.026625 77 521731 115521 20898 4 0 0 0 0 0 0 553 156026 8777
23.033375 -0.194824 -0.253546 5.99635 32038 0.5000007 142490 52650 5 2 256648.06 9.3867431 22.1003 23.033375 86 520073 115324 20811 5 0 0 0 0 0 0 553 155961 8609
23.04 -0.194824 -0.252853 5.99638 32039 0.5000007 142575 52723 6 2 260404.33 9.3867431 22.1003 23.04 73 521194 115988 20952 6 0 0 0 0 0 0 553 156039 8735
23.046625 -0.194824 -0.252159 5.99641 32040 0.5000007 142535 52675 5 2 257780.91 9.3867431 22.1003 23.046625 90 521182 114852 21076 7 0 0 0 0 0 0 553 156015 8647
23.053375 -0.194824 -0.251453 5.99644 32041 0.5000007 142524 52696 4 2 260225.46 9.3867431 22.1003 23.053375 79 523262 115934 21054 8 0 0 0 0 0 0 553 155983 8729
23.06 -0.194824 -0.25076 5.99647 32042 0.5000007 142573 52768 4 2 258317.51 9.3867431 22.1003 23.06 76 522293 115850 21084 9 0 0 0 0 0 0 553 156047 8665
23.066625 -0.194824 -0.250066 5.9965 32043 0.5000007 142561 52718 4 2 255306.54 9.3867431 22.1003 23.066625 78 523637 116177 21139 10 0 0 0 0 0 0 553 156025 8564
23.073375 -0.194824 -0.24936 5.99653 32043 0.5000007 142662 52799 5 2 260523.57 9.3867431 22.1003 23.073375 80 523113 116739 21165 11 0 0 0 0 0 0 553 156152 8739
23.08 -0.194824 -0.248666 5.99656 32044 0.5000007 142488 52718 5 2 255843.15 9.3867431 22.1003 23.08 77 522880 115921 21002 12 0 0 0 0 0 0 553 155956 8582
23.086625 -0.194824 -0.247973 5.99659 32045 0.5000007 142693 52865 4 2 256737.5 9.3867431 22.1003 23.086625 76 523650 116423 21054 13 0 0 0 0 0 0 553 156165 8612
23.093375 -0.194824 -0.247267 5.99662 32046 0.5000007 142620 52775 5 2 261447.73 9.3867431 22.1003 23.093375 83 523900 116419 21124 14 0 0 0 0 0 0 553 156102 8770
23.1 -0.194824 -0.246573 5.99664 32047 0.5000007 142616 52748 5 2 261417.92 9.3867431 22.1003 23.1 106 523971 116598 21260 15 0 0 0 0 0 0 553 156065 8769
23.106625 -0.194824 -0.24588 5.99667 32048 0.5000007 142608 52756 5 2 257303.92 9.3867431 22.1003 23.106625 90 525196 117120 21242 16 0 0 0 0 0 0 553 156073 8631
23.113375 -0.194824 -0.245173 5.9967 32049 0.5000007 142669 52817 5 2 259211.86 9.3867431 22.1003 23.113375 73 524412 116706 21155 17 0 0 0 0 0 0 553 156136 8695
23.12 -0.194824 -0.24448 5.99673 32050 0.5000007 142741 52857 5 2 259390.73 9.3867431 22.1003 23.12 87 526421 117241 21220 18 0 0 0 0 0 0 553 156209 8701
23.126625 -0.194824 -0.243787 5.99676 32051 0.5000007 142730 52849 5 2 268721.76 9.3867431 22.1003 23.126625 90 526299 116948 21352 19 0 0 0 0 0 0 553 156197 9014
23.133375 -0.194824 -0.24308 5.99679 32052 0.5000007 142609 52803 4 2 260046.59 9.3867431 22.1003 23.133375 86 524936 117421 21278 20 0 0 0 0 0 0 553 156069 8723
23.14 -0.194824 -0.242387 5.99682 32053 0.5000007 142719 52846 4 2 265502.11 9.3867431 22.1003 23.14 74 526360 117823 21236 21 0 0 0 0 0 0 553 156177 8906
23.146625 -0.194824 -0.241693 5.99684 32054 0.5000007 142707 52841 4 2 263653.79 9.3867431 22.1003 23.146625 87 527395 117817 21569 22 0 0 0 0 0 0 553 156172 8844
23.153375 -0.194824 -0.240987 5.99687 32055 0.5000007 142750 52861 4 2 266128.15 9.3867431 22.1003 23.153375 75 526287 117739 21529 23 0 0 0 0 0 0 553 156208 8927
23.16 -0.194824 -0.240293 5.9969 32056 0.5000007 142706 52830 4 2 260940.93 9.3867431 22.1003 23.16 82 528639 118284 21341 24 0 0 0 0 0 0 553 156165 8753
23.166625 -0.194824 -0.2396 5.99693 32057 0.5000007 142722 52854 4 2 267350.43 9.3867431 22.1003 23.166625 81 527580 118464 21582 25 0 0 0 0 0 0 553 156186 8968
23.173375 -0.194824 -0.238894 5.99696 32058 0.5000007 142645 52808 4 2 261745.85 9.3867431 22.1003 23.173375 81 528107 118177 21552 26 0 0 0 0 0 0 553 156121 8780
23.18 -0.194824 -0.2382 5.99698 32059 0.5000007 142667 52839 5 2 261537.17 9.3867431 22.1003 23.18 85 527342 118140 21332 27 0 0 0 0 0 0 553 156125 8773
23.186625 -0.194824 -0.237507 5.99701 32060 0.5000007 142654 52815 4 2 269049.69 9.3867431 22.1003 23.186625 76 527981 118328 21704 28 0 0 0 0 0 0 553 156127 9025
23.193375 -0.194824 -0.2368 5.99704 32061 0.5000007 142625 52815 5 2 263325.86 9.3867431 22.1003 23.193375 89 528151 118166 21159 29 0 0 0 0 0 0 553 156096 8833
