Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 43506 1.0000007 283489 104482 5 2 500805.07 9.3867431 22.1003 23.1 88 1036992 225851 40562 0 0 0 0 0 0 0 553 311625 16799
23.106625 0.194824 -0.24588 5.99667 43508 1.0000007 283420 104397 5 2 506767.39 9.3867431 22.1003 23.106625 96 1038626 227143 41054 1 0 0 0 0 0 0 553 311563 16999
23.113375 0.194824 -0.245173 5.9967 43509 1.0000007 283471 104451 5 2 493650.28 9.3867431 22.1003 23.113375 93 1038864 226594 40626 2 0 0 0 0 0 0 553 311625 16559
23.12 0.194824 -0.24448 5.99673 43511 1.0000007 283416 104469 5 2 505157.56 9.3867431 22.1003 23.12 87 1038699 226118 40847 3 0 0 0 0 0 0 553 311552 16945
23.126625 0.194824 -0.243787 5.99676 43512 1.0000007 283340 104333 7 2 507184.75 9.3867431 22.1003 23.126625 96 1041014 227605 41120 4 0 0 0 0 0 0 553 311488 17013
23.133375 0.194824 -0.24308 5.99679 43514 1.0000007 283255 104290 6 2 501311.87 9.3867431 22.1003 23.133375 87 1037327 226244 40865 5 0 0 0 0 0 0 553 311376 16816
23.14 0.194824 -0.242387 5.99682 43515 1.0000007 283245 104292 7 2 498002.78 9.3867431 22.1003 23.14 89 1039215 225979 40533 6 0 0 0 0 0 0 553 311388 16705
23.146625 0.194824 -0.241693 5.99684 43517 1.0000007 283323 104370 5 2 502414.89 9.3867431 22.1003 23.146625 92 1040105 226600 40704 7 0 0 0 0 0 0 553 311467 16853
23.153375 0.194824 -0.240987 5.99687 43518 1.0000007 283234 104212 6 2 505217.19 9.3867431 22.1003 23.153375 90 1039842 227377 40999 8 0 0 0 0 0 0 553 311388 16947
23.16 0.194824 -0.240293 5.9969 43519 1.0000007 283185 104295 7 2 501937.91 9.3867431 22.1003 23.16 91 1041606 227698 41167 9 0 0 0 0 0 0 553 311332 16837
