Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 45330 1.0000007 278825 101543 7 2 488790.99 9.3867431 22.1003 23.1 90 1016971 221626 39870 0 0 0 0 0 0 0 553 306875 16396
23.106625 0.194824 -0.24588 5.99667 45332 1.0000007 278794 101526 5 2 490549.88 9.3867431 22.1003 23.106625 84 1019074 222111 39910 1 0 0 0 0 0 0 553 306830 16455
23.113375 0.194824 -0.245173 5.9967 45334 1.0000007 278754 101480 6 2 489417.04 9.3867431 22.1003 23.113375 85 1018918 222292 39700 2 0 0 0 0 0 0 553 306777 16417
23.12 0.194824 -0.24448 5.99673 45335 1.0000007 278760 101501 5 2 498151.84 9.3867431 22.1003 23.12 88 1020411 222651 40441 3 0 0 0 0 0 0 553 306812 16710
23.126625 0.194824 -0.243787 5.99676 45336 1.0000007 278882 101551 7 2 491533.66 9.3867431 22.1003 23.126625 86 1017460 220858 39883 4 0 0 0 0 0 0 553 306923 16488
23.133375 0.194824 -0.24308 5.99679 45338 1.0000007 278789 101573 6 2 489655.53 9.3867431 22.1003 23.133375 90 1016732 221977 40188 5 0 0 0 0 0 0 553 306843 16425
23.14 0.194824 -0.242387 5.99682 45339 1.0000007 278954 101588 5 2 493024.24 9.3867431 22.1003 23.14 86 1020732 222343 39869 6 0 0 0 0 0 0 553 307014 16538
23.146625 0.194824 -0.241693 5.99684 45341 1.0000007 278757 101470 7 2 493858.97 9.3867431 22.1003 23.146625 86 1017459 221404 39996 7 0 0 0 0 0 0 553 306797 16566
23.153375 0.194824 -0.240987 5.99687 45342 1.0000007 278924 101578 5 2 490430.63 9.3867431 22.1003 23.153375 85 1019054 221984 40003 8 0 0 0 0 0 0 553 306968 16451
23.16 0.194824 -0.240293 5.9969 45344 1.0000007 278980 101643 6 2 495677.47 9.3867431 22.1003 23.16 88 1020006 222514 40284 9 0 0 0 0 0 0 553 307016 16627
23.166625 0.194824 -0.2396 5.99693 45345 1.0000007 278972 101650 6 2 496035.21 9.3867431 22.1003 23.166625 95 1021568 222103 39917 10 0 0 0 0 0 0 553 307021 16639
23.173375 0.194824 -0.238894 5.99696 45347 1.0000007 278936 101632 6 2 490967.24 9.3867431 22.1003 23.173375 88 1022868 223320 40269 11 0 0 0 0 0 0 553 306966 16469
23.18 0.194824 -0.2382 5.99698 45349 1.0000007 278896 101681 7 2 492308.76 9.3867431 22.1003 23.18 85 1019799 222868 40155 12 0 0 0 0 0 0 553 306928 16514
23.186625 0.194824 -0.237507 5.99701 45350 1.0000007 279063 101754 5 2 487449.47 9.3867431 22.1003 23.186625 88 1021252 221826 39841 13 0 0 0 0 0 0 553 307100 16351
23.193375 0.194824 -0.2368 5.99704 45351 1.0000007 279126 101765 5 2 490311.39 9.3867431 22.1003 23.193375 88 1022624 222297 40126 14 0 0 0 0 0 0 553 307173 16447
23.2 0.194824 -0.236107 5.99707 45353 1.0000007 279108 101784 5 2 488522.69 9.3867431 22.1003 23.2 87 1022209 223468 39863 15 0 0 0 0 0 0 553 307135 16387
23.206625 0.194824 -0.235413 5.99709 45355 1.0000007 279156 101860 5 2 494425.39 9.3867431 22.1003 23.206625 98 1023523 223209 40150 16 0 0 0 0 0 0 553 307183 16585
23.213375 0.194824 -0.234707 5.99712 45356 1.0000007 279222 101923 5 2 498599.01 9.3867431 22.1003 23.213375 91 1022963 223155 40372 17 0 0 0 0 0 0 553 307248 16725
23.22 0.194824 -0.234013 5.99715 45357 1.0000007 279330 102048 5 2 490043.08 9.3867431 22.1003 23.22 94 1026690 223881 39951 18 0 0 0 0 0 0 553 307356 16438
23.226625 0.194824 -0.23332 5.99718 45359 1.0000007 279448 102077 5 2 489357.41 9.3867431 22.1003 23.226625 90 1025814 223402 39769 19 0 0 0 0 0 0 553 307471 16415
23.233375 0.194824 -0.232613 5.9972 45361 1.0000007 279312 102026 5 2 497466.17 9.3867431 22.1003 23.233375 89 1025283 223079 40272 20 0 0 0 0 0 0 553 307333 16687
23.24 0.194824 -0.23192 5.99723 45362 1.0000007 279491 102195 5 2 494335.95 9.3867431 22.1003 23.24 91 1024705 222459 39983 21 0 0 0 0 0 0 553 307524 16582
23.246625 0.194824 -0.231227 5.99726 45364 1.0000007 279504 102146 5 2 491563.47 9.3867431 22.1003 23.246625 88 1027545 223297 40293 22 0 0 0 0 0 0 553 307540 16489
23.253375 0.194824 -0.23052 5.99728 45365 1.0000007 279691 102335 5 2 492129.89 9.3867431 22.1003 23.253375 89 1029011 224236 40369 23 0 0 0 0 0 0 553 307728 16508
23.26 0.194824 -0.229827 5.99731 45367 1.0000007 279794 102445 5 2 497972.97 9.3867431 22.1003 23.26 88 1029852 224452 40400 24 0 0 0 0 0 0 553 307818 16704
23.266625 0.194824 -0.229133 5.99734 45368 1.0000007 279781 102431 4 2 497853.72 9.3867431 22.1003 23.266625 96 1029779 224254 40323 25 0 0 0 0 0 0 553 307798 16700
23.273375 0.194824 -0.228427 5.99736 45370 1.0000007 279785 102486 6 2 498420.14 9.3867431 22.1003 23.273375 95 1029972 224379 40376 26 0 0 0 0 0 0 553 307780 16719
23.28 0.194824 -0.227733 5.99739 45371 1.0000007 279965 102615 5 2 495647.66 9.3867431 22.1003 23.28 91 1030956 224146 40135 27 0 0 0 0 0 0 553 307979 16626
