Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23 -0.194824 -0.257039 5.99621 30803 0.5000007 142094 51915 4 2 248688.37 9.3867431 22.1003 23 82 515252 112192 20214 0 0 0 0 0 0 0 553 155630 8342
23.006625 -0.194824 -0.256346 5.99624 30804 0.5000007 142266 52056 5 2 257095.24 9.3867431 22.1003 23.006625 77 518307 112923 20574 1 0 0 0 0 0 0 553 155840 8624
23.013375 -0.194824 -0.255639 5.99627 30805 0.5000007 142124 51961 3 2 252921.61 9.3867431 22.1003 23.013375 72 516914 112570 20348 2 0 0 0 0 0 0 553 155671 8484
23.02 -0.194824 -0.254946 5.99629 30806 0.5000007 142194 52005 5 2 250059.7 9.3867431 22.1003 23.02 75 515868 112837 20281 3 0 0 0 0 0 0 553 155738 8388
23.026625 -0.194824 -0.254253 5.99632 30807 0.5000007 142084 51942 4 2 248598.93 9.3867431 22.1003 23.026625 71 516092 112891 20169 4 0 0 0 0 0 0 553 155622 8339
23.033375 -0.194824 -0.253546 5.99635 30808 0.5000007 142113 51934 4 2 247257.41 9.3867431 22.1003 23.033375 71 517834 113313 20313 5 0 0 0 0 0 0 553 155663 8294
23.04 -0.194824 -0.252853 5.99638 30809 0.5000007 142134 51965 4 2 248479.69 9.3867431 22.1003 23.04 69 516947 112646 20290 6 0 0 0 0 0 0 553 155676 8335
23.046625 -0.194824 -0.252159 5.99641 30810 0.5000007 142101 51922 4 2 251460.85 9.3867431 22.1003 23.046625 72 517135 112984 20374 7 0 0 0 0 0 0 553 155650 8435
23.053375 -0.194824 -0.251453 5.99644 30811 0.5000007 142072 51944 4 2 254203.51 9.3867431 22.1003 23.053375 67 517565 113723 20670 8 0 0 0 0 0 0 553 155617 8527
23.06 -0.194824 -0.25076 5.99647 30812 0.5000007 142128 51966 3 2 246840.05 9.3867431 22.1003 23.06 78 518450 113454 20158 9 0 0 0 0 0 0 553 155685 8280
23.066625 -0.194824 -0.250066 5.9965 30813 0.5000007 142012 51922 4 2 250626.12 9.3867431 22.1003 23.066625 84 519162 113251 20239 10 0 0 0 0 0 0 553 155566 8407
23.073375 -0.194824 -0.24936 5.99653 30814 0.5000007 142207 52039 4 2 252027.27 9.3867431 22.1003 23.073375 72 518963 113732 20422 11 0 0 0 0 0 0 553 155769 8454
23.08 -0.194824 -0.248666 5.99656 30815 0.5000007 142168 51979 4 2 248121.95 9.3867431 22.1003 23.08 65 520555 113717 20368 12 0 0 0 0 0 0 553 155722 8323
23.086625 -0.194824 -0.247973 5.99659 30816 0.5000007 142156 51990 5 2 252235.95 9.3867431 22.1003 23.086625 77 519051 113415 20466 13 0 0 0 0 0 0 553 155707 8461
23.093375 -0.194824 -0.247267 5.99662 30817 0.5000007 142063 51950 4 2 253547.66 9.3867431 22.1003 23.093375 66 519190 114408 20665 14 0 0 0 0 0 0 553 155603 8505
23.1 -0.194824 -0.246573 5.99664 30818 0.5000007 142194 52015 4 2 254024.64 9.3867431 22.1003 23.1 73 521214 114241 20667 15 0 0 0 0 0 0 553 155730 8521
23.106625 -0.194824 -0.24588 5.99667 30819 0.5000007 142233 52025 5 2 256022.02 9.3867431 22.1003 23.106625 79 520932 113832 20687 16 0 0 0 0 0 0 553 155773 8588
23.113375 -0.194824 -0.245173 5.9967 30820 0.5000007 142223 52068 4 2 249642.34 9.3867431 22.1003 23.113375 69 519384 112971 20404 17 0 0 0 0 0 0 553 155768 8374
23.12 -0.194824 -0.24448 5.99673 30821 0.5000007 142131 52060 4 2 250804.99 9.3867431 22.1003 23.12 89 521310 114272 20424 18 0 0 0 0 0 0 553 155663 8413
23.126625 -0.194824 -0.243787 5.99676 30822 0.5000007 142294 52072 5 2 251311.79 9.3867431 22.1003 23.126625 88 522364 114654 20513 19 0 0 0 0 0 0 553 155837 8430
23.133375 -0.194824 -0.24308 5.99679 30823 0.5000007 142259 52078 5 2 252295.57 9.3867431 22.1003 23.133375 96 522523 114550 20435 20 0 0 0 0 0 0 553 155792 8463
23.14 -0.194824 -0.242387 5.99682 30824 0.5000007 142282 52116 4 2 254233.32 9.3867431 22.1003 23.14 102 524241 115133 20723 21 0 0 0 0 0 0 553 155811 8528
23.146625 -0.194824 -0.241693 5.99684 30825 0.5000007 142284 52111 4 2 253905.4 9.3867431 22.1003 23.146625 97 524454 114951 20544 22 0 0 0 0 0 0 553 155806 8517
23.153375 -0.194824 -0.240987 5.99687 30826 0.5000007 142396 52213 4 2 251788.77 9.3867431 22.1003 23.153375 115 523010 114499 20560 23 0 0 0 0 0 0 553 155943 8446
23.16 -0.194824 -0.240293 5.9969 30827 0.5000007 142348 52153 4 2 256439.38 9.3867431 22.1003 23.16 116 524423 114909 20821 24 0 0 0 0 0 0 553 155877 8602
23.166625 -0.194824 -0.2396 5.99693 30828 0.5000007 142328 52185 4 2 255962.4 9.3867431 22.1003 23.166625 130 525715 115497 20821 25 0 0 0 0 0 0 553 155855 8586
23.173375 -0.194824 -0.238894 5.99696 30829 0.5000007 142471 52268 4 2 253577.47 9.3867431 22.1003 23.173375 150 525523 115630 20634 26 0 0 0 0 0 0 553 156006 8506
23.18 -0.194824 -0.2382 5.99698 30830 0.5000007 142445 52266 4 2 255843.15 9.3867431 22.1003 23.18 172 525594 115218 20775 27 0 0 0 0 0 0 553 155993 8582
23.186625 -0.194824 -0.237507 5.99701 30831 0.5000007 142357 52243 6 2 257631.85 9.3867431 22.1003 23.186625 177 526314 115510 20821 28 0 0 0 0 0 0 553 155895 8642
23.193375 -0.194824 -0.2368 5.99704 30832 0.5000007 142511 52344 4 2 254143.89 9.3867431 22.1003 23.193375 202 528573 115725 20659 29 0 0 0 0 0 0 553 156031 8525
23.2 -0.194824 -0.236107 5.99707 30833 0.5000007 142603 52390 5 2 256737.5 9.3867431 22.1003 23.2 269 529045 115520 20698 30 0 0 0 0 0 0 553 156122 8612
23.206625 -0.194824 -0.235413 5.99709 30833 0.5000007 142599 52404 5 2 259420.54 9.3867431 22.1003 23.206625 268 530453 116251 21084 31 0 0 0 0 0 0 553 156138 8702
23.213375 -0.194824 -0.234707 5.99712 30834 0.5000007 142665 52441 4 2 258019.4 9.3867431 22.1003 23.213375 319 532168 116816 21185 32 0 0 0 0 0 0 553 156201 8655
23.22 -0.194824 -0.234013 5.99715 30835 0.5000007 142701 52437 5 2 255515.22 9.3867431 22.1003 23.22 346 533060 116361 20943 33 0 0 0 0 0 0 553 156231 8571
23.226625 -0.194824 -0.23332 5.99718 30836 0.5000007 142733 52532 5 2 257274.11 9.3867431 22.1003 23.226625 444 535084 116619 21024 34 0 0 0 0 0 0 553 156264 8630
23.233375 -0.194824 -0.232613 5.9972 30837 0.5000007 142698 52495 4 2 259420.54 9.3867431 22.1003 23.233375 549 538022 116927 21028 35 0 0 0 0 0 0 553 156228 8702
23.24 -0.194824 -0.23192 5.99723 30838 0.5000007 142672 52503 4 2 258257.89 9.3867431 22.1003 23.24 706 540009 117191 20997 36 0 0 0 0 0 0 553 156181 8663
23.246625 -0.194824 -0.231227 5.99726 30839 0.5000007 142691 52499 5 2 259867.72 9.3867431 22.1003 23.246625 899 544905 117477 21140 37 0 0 0 0 0 0 553 156215 8717
23.253375 -0.194824 -0.23052 5.99728 30840 0.5000007 142815 52594 6 2 255813.34 9.3867431 22.1003 23.253375 1058 549318 117767 21137 38 0 0 0 0 0 0 553 156327 8581
