Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 47619 1.0000007 281639 102917 5 2 494902.37 9.3867431 22.1003 23.1 91 1027541 224011 40490 0 0 0 0 0 0 0 553 309697 16601
23.106625 0.194824 -0.24588 5.99667 47620 1.0000007 281535 102867 6 2 493799.34 9.3867431 22.1003 23.106625 95 1027907 223849 40151 1 0 0 0 0 0 0 553 309585 16564
23.113375 0.194824 -0.245173 5.9967 47622 1.0000007 281637 102955 6 2 497823.91 9.3867431 22.1003 23.113375 95 1030706 224420 40313 2 0 0 0 0 0 0 553 309693 16699
23.12 0.194824 -0.24448 5.99673 47623 1.0000007 281605 102960 4 2 491861.59 9.3867431 22.1003 23.12 87 1031349 224511 40313 3 0 0 0 0 0 0 553 309644 16499
23.126625 0.194824 -0.243787 5.99676 47625 1.0000007 281644 102898 6 2 490967.24 9.3867431 22.1003 23.126625 95 1030929 224871 40194 4 0 0 0 0 0 0 553 309718 16469
23.133375 0.194824 -0.24308 5.99679 47626 1.0000007 281535 102858 5 2 496810.31 9.3867431 22.1003 23.133375 88 1031302 224553 40371 5 0 0 0 0 0 0 553 309584 16665
23.14 0.194824 -0.242387 5.99682 47628 1.0000007 281648 102874 4 2 503368.87 9.3867431 22.1003 23.14 91 1030699 224613 40594 6 0 0 0 0 0 0 553 309713 16885
23.146625 0.194824 -0.241693 5.99684 47629 1.0000007 281838 103091 6 2 493381.98 9.3867431 22.1003 23.146625 99 1031574 225276 40494 7 0 0 0 0 0 0 553 309886 16550
23.153375 0.194824 -0.240987 5.99687 47631 1.0000007 281706 102992 5 2 494723.5 9.3867431 22.1003 23.153375 97 1031045 224816 40566 8 0 0 0 0 0 0 553 309752 16595
23.16 0.194824 -0.240293 5.9969 47632 1.0000007 281595 102953 4 2 496989.18 9.3867431 22.1003 23.16 88 1030482 225266 40447 9 0 0 0 0 0 0 553 309627 16671
