Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 44874 1.0000007 282200 103745 6 2 499552.98 9.3867431 22.1003 23.1 89 1033514 225469 40776 0 0 0 0 0 0 0 553 310206 16757
23.106625 0.194824 -0.24588 5.99667 44876 1.0000007 282158 103712 6 2 499463.55 9.3867431 22.1003 23.106625 93 1032986 224537 40372 1 0 0 0 0 0 0 553 310151 16754
23.113375 0.194824 -0.245173 5.9967 44877 1.0000007 282191 103708 6 2 497138.24 9.3867431 22.1003 23.113375 91 1032267 225388 40270 2 0 0 0 0 0 0 553 310218 16676
23.12 0.194824 -0.24448 5.99673 44878 1.0000007 282122 103659 5 2 497645.04 9.3867431 22.1003 23.12 86 1032811 224364 40262 3 0 0 0 0 0 0 553 310123 16693
23.126625 0.194824 -0.243787 5.99676 44880 1.0000007 282170 103694 6 2 496899.75 9.3867431 22.1003 23.126625 87 1033313 225912 40688 4 0 0 0 0 0 0 553 310179 16668
23.133375 0.194824 -0.24308 5.99679 44881 1.0000007 282097 103652 5 2 498569.2 9.3867431 22.1003 23.133375 94 1033816 225626 40673 5 0 0 0 0 0 0 553 310095 16724
23.14 0.194824 -0.242387 5.99682 44883 1.0000007 282167 103656 5 2 497794.1 9.3867431 22.1003 23.14 88 1034996 225589 40640 6 0 0 0 0 0 0 553 310188 16698
23.146625 0.194824 -0.241693 5.99684 44884 1.0000007 282104 103685 5 2 499910.72 9.3867431 22.1003 23.146625 87 1034559 225436 40541 7 0 0 0 0 0 0 553 310108 16769
23.153375 0.194824 -0.240987 5.99687 44886 1.0000007 282036 103558 5 2 499910.72 9.3867431 22.1003 23.153375 89 1035146 224656 40318 8 0 0 0 0 0 0 553 310038 16769
23.16 0.194824 -0.240293 5.9969 44887 1.0000007 281966 103548 5 2 496810.31 9.3867431 22.1003 23.16 88 1033334 225166 40476 9 0 0 0 0 0 0 553 309980 16665
23.166625 0.194824 -0.2396 5.99693 44889 1.0000007 281833 103558 6 2 505097.94 9.3867431 22.1003 23.166625 86 1032832 224732 40638 10 0 0 0 0 0 0 553 309806 16943
23.173375 0.194824 -0.238894 5.99696 44890 1.0000007 281793 103500 6 2 498151.84 9.3867431 22.1003 23.173375 90 1034027 225225 40430 11 0 0 0 0 0 0 553 309782 16710
23.18 0.194824 -0.2382 5.99698 44892 1.0000007 281954 103488 5 2 498241.27 9.3867431 22.1003 23.18 96 1034376 225494 40359 12 0 0 0 0 0 0 553 309956 16713
23.186625 0.194824 -0.237507 5.99701 44893 1.0000007 281751 103419 5 2 504203.59 9.3867431 22.1003 23.186625 89 1032428 225113 40947 13 0 0 0 0 0 0 553 309734 16913
23.193375 0.194824 -0.2368 5.99704 44895 1.0000007 281770 103478 6 2 500268.46 9.3867431 22.1003 23.193375 90 1033967 224093 40441 14 0 0 0 0 0 0 553 309771 16781
23.2 0.194824 -0.236107 5.99707 44896 1.0000007 281758 103439 6 2 502921.69 9.3867431 22.1003 23.2 85 1033843 225196 40649 15 0 0 0 0 0 0 553 309752 16870
23.206625 0.194824 -0.235413 5.99709 44898 1.0000007 281852 103492 5 2 502474.52 9.3867431 22.1003 23.206625 86 1035358 225300 40736 16 0 0 0 0 0 0 553 309859 16855
23.213375 0.194824 -0.234707 5.99712 44899 1.0000007 281667 103392 5 2 498956.75 9.3867431 22.1003 23.213375 99 1036072 225416 40191 17 0 0 0 0 0 0 553 309651 16737
23.22 0.194824 -0.234013 5.99715 44901 1.0000007 281801 103426 6 2 499016.37 9.3867431 22.1003 23.22 88 1036194 225777 40417 18 0 0 0 0 0 0 553 309820 16739
23.226625 0.194824 -0.23332 5.99718 44902 1.0000007 281819 103477 6 2 503577.55 9.3867431 22.1003 23.226625 87 1037335 226582 40725 19 0 0 0 0 0 0 553 309841 16892
23.233375 0.194824 -0.232613 5.9972 44904 1.0000007 281683 103424 6 2 504680.58 9.3867431 22.1003 23.233375 88 1036706 226148 41007 20 0 0 0 0 0 0 553 309697 16929
23.24 0.194824 -0.23192 5.99723 44905 1.0000007 281748 103385 5 2 497764.29 9.3867431 22.1003 23.24 89 1036150 226256 40787 21 0 0 0 0 0 0 553 309759 16697
23.246625 0.194824 -0.231227 5.99726 44907 1.0000007 281734 103399 5 2 500119.4 9.3867431 22.1003 23.246625 91 1036493 226202 40740 22 0 0 0 0 0 0 553 309745 16776
23.253375 0.194824 -0.23052 5.99728 44908 1.0000007 281574 103367 6 2 499523.17 9.3867431 22.1003 23.253375 95 1037161 226873 40496 23 0 0 0 0 0 0 553 309595 16756
23.26 0.194824 -0.229827 5.99731 44910 1.0000007 281534 103331 5 2 503816.04 9.3867431 22.1003 23.26 90 1036968 226793 40910 24 0 0 0 0 0 0 553 309546 16900
23.266625 0.194824 -0.229133 5.99734 44911 1.0000007 281616 103374 6 2 495975.59 9.3867431 22.1003 23.266625 95 1037376 226694 40449 25 0 0 0 0 0 0 553 309646 16637
