Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.4 0.194824 -0.319816 5.99318 23005 0.5000007 142466 52598 4 2 256886.56 9.3867431 22.1003 22.4 53 522556 113949 20628 0 0 0 0 0 0 0 553 156212 8617
22.406625 0.194824 -0.319123 5.99322 23006 0.5000007 142546 52673 4 2 256677.88 9.3867431 22.1003 22.406625 50 525097 114588 20894 1 0 0 0 0 0 0 553 156315 8610
22.413375 0.194824 -0.318417 5.99326 23007 0.5000007 142392 52597 4 2 248807.61 9.3867431 22.1003 22.413375 53 523529 114095 20568 2 0 0 0 0 0 0 553 156135 8346
22.42 0.194824 -0.317724 5.9933 23008 0.5000007 142368 52596 5 2 255992.21 9.3867431 22.1003 22.42 50 523282 114273 20689 3 0 0 0 0 0 0 553 156151 8587
22.426625 0.194824 -0.317031 5.99333 23009 0.5000007 142435 52592 5 2 250506.87 9.3867431 22.1003 22.426625 48 523586 113973 20440 4 0 0 0 0 0 0 553 156181 8403
22.433375 0.194824 -0.316325 5.99337 23010 0.5000007 142468 52586 5 2 250477.06 9.3867431 22.1003 22.433375 54 524049 114045 20361 5 0 0 0 0 0 0 553 156224 8402
22.44 0.194824 -0.315632 5.99341 23011 0.5000007 142563 52639 4 2 252504.25 9.3867431 22.1003 22.44 49 525285 114733 20562 6 0 0 0 0 0 0 553 156335 8470
22.446625 0.194824 -0.314939 5.99344 23012 0.5000007 142395 52571 4 2 255306.54 9.3867431 22.1003 22.446625 52 524838 114155 20658 7 0 0 0 0 0 0 553 156157 8564
22.453375 0.194824 -0.314233 5.99348 23013 0.5000007 142381 52558 5 2 254322.76 9.3867431 22.1003 22.453375 50 523721 114654 20591 8 0 0 0 0 0 0 553 156137 8531
22.46 0.194824 -0.31354 5.99352 23014 0.5000007 142429 52594 5 2 253160.11 9.3867431 22.1003 22.46 55 524536 114580 20738 9 0 0 0 0 0 0 553 156179 8492
22.466625 0.194824 -0.312847 5.99355 23015 0.5000007 142369 52548 4 2 252355.19 9.3867431 22.1003 22.466625 52 523636 114431 20496 10 0 0 0 0 0 0 553 156136 8465
22.473375 0.194824 -0.312141 5.99359 23016 0.5000007 142368 52543 4 2 255723.9 9.3867431 22.1003 22.473375 53 524757 114250 20614 11 0 0 0 0 0 0 553 156117 8578
22.48 0.194824 -0.311447 5.99363 23017 0.5000007 142353 52561 4 2 256797.12 9.3867431 22.1003 22.48 52 525855 114938 20936 12 0 0 0 0 0 0 553 156105 8614
22.486625 0.194824 -0.310754 5.99366 23018 0.5000007 142269 52477 4 2 255962.4 9.3867431 22.1003 22.486625 50 524996 114065 20865 13 0 0 0 0 0 0 553 156034 8586
