Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.8 0.17454 -0.277222 5.99497 67442 1.0000007 285662 106214 6 2 511090.07 9.38524 22.1003 22.8 95 1054320 229529 41274 0 0 0 0 0 0 0 553 313910 17144
22.806625 0.17454 -0.276528 5.995 67444 1.0000007 285621 106115 5 2 506707.77 9.38524 22.1003 22.806625 88 1054183 229401 41024 1 0 0 0 0 0 0 553 313905 16997
22.813375 0.17454 -0.275822 5.99503 67445 1.0000007 285590 106140 5 2 503965.1 9.38524 22.1003 22.813375 91 1050596 228293 41006 2 0 0 0 0 0 0 553 313843 16905
22.82 0.17454 -0.275129 5.99506 67447 1.0000007 285612 106139 5 2 511000.64 9.38524 22.1003 22.82 89 1053386 229832 41339 3 0 0 0 0 0 0 553 313868 17141
22.826625 0.17454 -0.274436 5.9951 67448 1.0000007 285686 106132 6 2 500119.4 9.38524 22.1003 22.826625 90 1053505 229523 40968 4 0 0 0 0 0 0 553 313937 16776
22.833375 0.17454 -0.27373 5.99513 67450 1.0000007 285584 106104 6 2 507810.79 9.38524 22.1003 22.833375 90 1053871 229765 41249 5 0 0 0 0 0 0 553 313843 17034
22.84 0.17454 -0.273036 5.99516 67451 1.0000007 285505 105998 4 2 503309.24 9.38524 22.1003 22.84 91 1056388 229910 41329 6 0 0 0 0 0 0 553 313747 16883
22.846625 0.17454 -0.272343 5.99519 67453 1.0000007 285306 105920 5 2 505306.62 9.38524 22.1003 22.846625 95 1052010 229278 41318 7 0 0 0 0 0 0 553 313547 16950
22.853375 0.17454 -0.271637 5.99522 67455 1.0000007 285369 105985 5 2 504620.95 9.38524 22.1003 22.853375 92 1053844 229437 41434 8 0 0 0 0 0 0 553 313634 16927
22.86 0.17454 -0.270944 5.99525 67456 1.0000007 285403 105984 6 2 510642.9 9.38524 22.1003 22.86 91 1053716 229164 41397 9 0 0 0 0 0 0 553 313654 17129
22.866625 0.17454 -0.27025 5.99529 67458 1.0000007 285194 105879 5 2 505097.94 9.38524 22.1003 22.866625 92 1054450 228817 40926 10 0 0 0 0 0 0 553 313442 16943
22.873375 0.17454 -0.269544 5.99532 67459 1.0000007 285148 105769 6 2 505902.85 9.38524 22.1003 22.873375 93 1053602 228975 41228 11 0 0 0 0 0 0 553 313371 16970
22.88 0.17454 -0.268851 5.99535 67461 1.0000007 285257 105884 5 2 516426.35 9.38524 22.1003 22.88 93 1057347 230115 41690 12 0 0 0 0 0 0 553 313535 17323
22.886625 0.17454 -0.268158 5.99538 67462 1.0000007 285171 105842 5 2 509510.06 9.38524 22.1003 22.886625 92 1055090 230388 41347 13 0 0 0 0 0 0 553 313435 17091
22.893375 0.17454 -0.267451 5.99541 67464 1.0000007 285005 105706 5 2 506856.82 9.38524 22.1003 22.893375 91 1053888 230007 41570 14 0 0 0 0 0 0 553 313265 17002
22.9 0.17454 -0.266758 5.99544 67465 1.0000007 284988 105710 6 2 504054.53 9.38524 22.1003 22.9 95 1055920 229140 41203 15 0 0 0 0 0 0 553 313238 16908
22.906625 0.17454 -0.266065 5.99547 67467 1.0000007 285042 105731 5 2 508407.03 9.38524 22.1003 22.906625 89 1056074 230278 41534 16 0 0 0 0 0 0 553 313321 17054
22.913375 0.17454 -0.265358 5.9955 67468 1.0000007 284939 105640 4 2 505515.3 9.38524 22.1003 22.913375 90 1057948 231005 41565 17 0 0 0 0 0 0 553 313208 16957
