Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.1 0.194824 -0.246573 5.99664 46245 1.0000007 281230 102489 5 2 495468.79 9.3867431 22.1003 23.1 88 1027540 224158 40505 0 0 0 0 0 0 0 553 309249 16620
23.106625 0.194824 -0.24588 5.99667 46246 1.0000007 281021 102319 5 2 495468.79 9.3867431 22.1003 23.106625 86 1025667 224137 40353 1 0 0 0 0 0 0 553 309069 16620
23.113375 0.194824 -0.245173 5.9967 46248 1.0000007 281132 102386 6 2 492159.7 9.3867431 22.1003 23.113375 89 1025739 223401 40129 2 0 0 0 0 0 0 553 309172 16509
23.12 0.194824 -0.24448 5.99673 46249 1.0000007 280927 102302 5 2 504740.2 9.3867431 22.1003 23.12 88 1027957 223598 40232 3 0 0 0 0 0 0 553 308957 16931
23.126625 0.194824 -0.243787 5.99676 46251 1.0000007 280894 102225 4 2 493829.15 9.3867431 22.1003 23.126625 87 1026965 223366 39869 4 0 0 0 0 0 0 553 308917 16565
23.133375 0.194824 -0.24308 5.99679 46252 1.0000007 280675 102110 5 2 494514.82 9.3867431 22.1003 23.133375 85 1025270 223261 40082 5 0 0 0 0 0 0 553 308729 16588
23.14 0.194824 -0.242387 5.99682 46254 1.0000007 280808 102167 6 2 492636.69 9.3867431 22.1003 23.14 90 1023151 223466 40136 6 0 0 0 0 0 0 553 308851 16525
23.146625 0.194824 -0.241693 5.99684 46255 1.0000007 280726 102146 6 2 501371.49 9.3867431 22.1003 23.146625 92 1025283 223251 40333 7 0 0 0 0 0 0 553 308774 16818
23.153375 0.194824 -0.240987 5.99687 46256 1.0000007 280689 102093 5 2 494037.84 9.3867431 22.1003 23.153375 95 1026858 222977 40044 8 0 0 0 0 0 0 553 308745 16572
23.16 0.194824 -0.240293 5.9969 46258 1.0000007 280612 102007 6 2 495140.86 9.3867431 22.1003 23.16 86 1026336 223921 40201 9 0 0 0 0 0 0 553 308631 16609
23.166625 0.194824 -0.2396 5.99693 46259 1.0000007 280559 102030 5 2 497287.3 9.3867431 22.1003 23.166625 91 1024937 223486 40440 10 0 0 0 0 0 0 553 308611 16681
23.173375 0.194824 -0.238894 5.99696 46261 1.0000007 280704 102124 6 2 494216.7 9.3867431 22.1003 23.173375 88 1027380 223526 40435 11 0 0 0 0 0 0 553 308769 16578
23.18 0.194824 -0.2382 5.99698 46262 1.0000007 280754 102071 4 2 502862.07 9.3867431 22.1003 23.18 93 1029451 225162 40575 12 0 0 0 0 0 0 553 308814 16868
23.186625 0.194824 -0.237507 5.99701 46264 1.0000007 280474 101944 5 2 486078.14 9.3867431 22.1003 23.186625 95 1026752 223797 40144 13 0 0 0 0 0 0 553 308491 16305
23.193375 0.194824 -0.2368 5.99704 46265 1.0000007 280520 102009 6 2 499165.43 9.3867431 22.1003 23.193375 100 1025664 223550 40369 14 0 0 0 0 0 0 553 308586 16744
23.2 0.194824 -0.236107 5.99707 46267 1.0000007 280657 102074 6 2 493203.11 9.3867431 22.1003 23.2 91 1026240 223558 40136 15 0 0 0 0 0 0 553 308694 16544
23.206625 0.194824 -0.235413 5.99709 46268 1.0000007 280588 102066 4 2 491772.15 9.3867431 22.1003 23.206625 90 1027466 223375 40254 16 0 0 0 0 0 0 553 308637 16496
23.213375 0.194824 -0.234707 5.99712 46270 1.0000007 280548 102022 4 2 492487.63 9.3867431 22.1003 23.213375 89 1026604 223808 40357 17 0 0 0 0 0 0 553 308584 16520
23.22 0.194824 -0.234013 5.99715 46271 1.0000007 280743 102169 6 2 499672.23 9.3867431 22.1003 23.22 91 1027198 224640 40561 18 0 0 0 0 0 0 553 308804 16761
23.226625 0.194824 -0.23332 5.99718 46273 1.0000007 280692 102092 5 2 497823.91 9.3867431 22.1003 23.226625 104 1029745 224479 40575 19 0 0 0 0 0 0 553 308746 16699
23.233375 0.194824 -0.232613 5.9972 46274 1.0000007 280652 102169 6 2 492159.7 9.3867431 22.1003 23.233375 89 1029574 224409 40186 20 0 0 0 0 0 0 553 308650 16509
23.24 0.194824 -0.23192 5.99723 46276 1.0000007 280798 102232 6 2 496780.5 9.3867431 22.1003 23.24 88 1028401 224138 40389 21 0 0 0 0 0 0 553 308832 16664
23.246625 0.194824 -0.231227 5.99726 46277 1.0000007 280973 102318 6 2 497853.72 9.3867431 22.1003 23.246625 87 1030174 224432 40444 22 0 0 0 0 0 0 553 309012 16700
23.253375 0.194824 -0.23052 5.99728 46279 1.0000007 280927 102354 5 2 504143.97 9.3867431 22.1003 23.253375 88 1032894 225919 40877 23 0 0 0 0 0 0 553 308956 16911
23.26 0.194824 -0.229827 5.99731 46280 1.0000007 281066 102409 6 2 500417.52 9.3867431 22.1003 23.26 89 1032390 225664 40773 24 0 0 0 0 0 0 553 309106 16786
23.266625 0.194824 -0.229133 5.99734 46281 1.0000007 281103 102465 5 2 497436.36 9.3867431 22.1003 23.266625 88 1032421 224974 40648 25 0 0 0 0 0 0 553 309129 16686
23.273375 0.194824 -0.228427 5.99736 46283 1.0000007 281112 102432 6 2 494485.01 9.3867431 22.1003 23.273375 95 1032391 224634 40247 26 0 0 0 0 0 0 553 309151 16587
23.28 0.194824 -0.227733 5.99739 46284 1.0000007 281176 102564 6 2 496869.94 9.3867431 22.1003 23.28 92 1032617 225711 40674 27 0 0 0 0 0 0 553 309184 16667
23.286625 0.194824 -0.22704 5.99742 46286 1.0000007 281173 102598 6 2 503040.94 9.3867431 22.1003 23.286625 91 1033734 225681 40590 28 0 0 0 0 0 0 553 309211 16874
23.293375 0.194824 -0.226333 5.99744 46287 1.0000007 281337 102683 6 2 500477.14 9.3867431 22.1003 23.293375 92 1034588 225259 40262 29 0 0 0 0 0 0 553 309379 16788
23.3 0.194824 -0.22564 5.99747 46289 1.0000007 281351 102732 5 2 498628.82 9.3867431 22.1003 23.3 90 1038426 226264 40871 30 0 0 0 0 0 0 553 309357 16726
23.306625 0.194824 -0.224946 5.9975 46290 1.0000007 281609 102913 6 2 512014.23 9.3867431 22.1003 23.306625 94 1037946 226609 41053 31 0 0 0 0 0 0 553 309654 17175
23.313375 0.194824 -0.22424 5.99752 46292 1.0000007 281721 103008 5 2 498151.84 9.3867431 22.1003 23.313375 89 1037704 226026 40789 32 0 0 0 0 0 0 553 309733 16710
23.32 0.194824 -0.223546 5.99755 46293 1.0000007 281658 102942 5 2 502862.07 9.3867431 22.1003 23.32 99 1039914 226509 40688 33 0 0 0 0 0 0 553 309691 16868
23.326625 0.194824 -0.222853 5.99757 46295 1.0000007 281793 103156 5 2 506976.07 9.3867431 22.1003 23.326625 90 1037664 226908 41108 34 0 0 0 0 0 0 553 309800 17006
23.333375 0.194824 -0.222146 5.9976 46296 1.0000007 281724 103071 5 2 505992.29 9.3867431 22.1003 23.333375 92 1038107 226750 40761 35 0 0 0 0 0 0 553 309718 16973
23.34 0.194824 -0.221452 5.99763 46298 1.0000007 282236 103364 5 2 504293.03 9.3867431 22.1003 23.34 92 1041627 227941 40931 36 0 0 0 0 0 0 553 310271 16916
23.346625 0.194824 -0.220759 5.99765 46299 1.0000007 282387 103500 5 2 501282.05 9.3867431 22.1003 23.346625 95 1041655 227625 40748 37 0 0 0 0 0 0 553 310407 16815
23.353375 0.194824 -0.220052 5.99768 46301 1.0000007 282109 103366 5 2 509390.81 9.3867431 22.1003 23.353375 86 1042563 227989 41032 38 0 0 0 0 0 0 553 310094 17087
23.36 0.194824 -0.219359 5.9977 46302 1.0000007 282373 103499 5 2 499254.87 9.3867431 22.1003 23.36 91 1042915 227176 40689 39 0 0 0 0 0 0 553 310395 16747
23.366625 0.194824 -0.218665 5.99773 46304 1.0000007 282655 103764 5 2 500983.94 9.3867431 22.1003 23.366625 95 1045337 228864 40669 40 0 0 0 0 0 0 553 310674 16805
23.373375 0.194824 -0.217959 5.99775 46305 1.0000007 282502 103632 5 2 504889.26 9.3867431 22.1003 23.373375 89 1043546 228434 41021 41 0 0 0 0 0 0 553 310505 16936
23.38 0.194824 -0.217265 5.99778 46306 1.0000007 282648 103778 5 2 511805.55 9.3867431 22.1003 23.38 85 1045518 228962 41301 42 0 0 0 0 0 0 553 310655 17168
23.386625 0.194824 -0.216572 5.9978 46308 1.0000007 282693 103754 5 2 504650.76 9.3867431 22.1003 23.386625 89 1047018 228491 41424 43 0 0 0 0 0 0 553 310703 16928
23.393375 0.194824 -0.215865 5.99783 46310 1.0000007 282741 103899 6 2 504471.9 9.3867431 22.1003 23.393375 89 1046970 228919 41094 44 0 0 0 0 0 0 553 310732 16922
23.4 0.194824 -0.215172 5.99785 46311 1.0000007 282856 103956 5 2 512014.23 9.3867431 22.1003 23.4 91 1048962 229713 41164 45 0 0 0 0 0 0 553 310871 17175
23.406625 0.194824 -0.214478 5.99788 46313 1.0000007 283014 104074 6 2 507423.24 9.3867431 22.1003 23.406625 98 1049070 229499 41241 46 0 0 0 0 0 0 553 311016 17021
23.413375 0.194824 -0.213772 5.9979 46314 1.0000007 282935 104012 5 2 507453.06 9.3867431 22.1003 23.413375 93 1048029 229983 41277 47 0 0 0 0 0 0 553 310932 17022
23.42 0.194824 -0.213078 5.99793 46316 1.0000007 283033 104134 6 2 507572.3 9.3867431 22.1003 23.42 88 1050635 230275 41509 48 0 0 0 0 0 0 553 311043 17026
23.426625 0.194824 -0.212384 5.99795 46317 1.0000007 283139 104187 5 2 512819.14 9.3867431 22.1003 23.426625 89 1047910 229708 41536 49 0 0 0 0 0 0 553 311152 17202
23.433375 0.194824 -0.211678 5.99798 46318 1.0000007 283181 104220 6 2 504531.52 9.3867431 22.1003 23.433375 93 1052821 230268 41302 50 0 0 0 0 0 0 553 311177 16924
23.44 0.194824 -0.210984 5.998 46320 1.0000007 283153 104231 6 2 508466.65 9.3867431 22.1003 23.44 88 1050788 230987 41509 51 0 0 0 0 0 0 553 311153 17056
23.446625 0.194824 -0.210291 5.99803 46322 1.0000007 283154 104242 6 2 508049.29 9.3867431 22.1003 23.446625 92 1053198 230483 41623 52 0 0 0 0 0 0 553 311151 17042
23.453375 0.194824 -0.209584 5.99805 46323 1.0000007 283227 104370 5 2 516664.84 9.3867431 22.1003 23.453375 94 1053119 230848 41869 53 0 0 0 0 0 0 553 311238 17331
23.46 0.194824 -0.208891 5.99808 46325 1.0000007 283314 104354 5 2 509361 9.3867431 22.1003 23.46 98 1054663 230643 41333 54 0 0 0 0 0 0 553 311314 17086
23.466625 0.194824 -0.208197 5.9981 46326 1.0000007 283424 104487 5 2 512521.03 9.3867431 22.1003 23.466625 93 1054832 231310 41609 55 0 0 0 0 0 0 553 311431 17192
23.473375 0.194824 -0.20749 5.99812 46328 1.0000007 283303 104352 5 2 516635.03 9.3867431 22.1003 23.473375 90 1055929 232099 41904 56 0 0 0 0 0 0 553 311312 17330
23.48 0.194824 -0.206797 5.99815 46329 1.0000007 283381 104412 4 2 512699.9 9.3867431 22.1003 23.48 91 1054999 231414 41751 57 0 0 0 0 0 0 553 311387 17198
23.486625 0.194824 -0.206103 5.99817 46331 1.0000007 283359 104414 5 2 519318.07 9.3867431 22.1003 23.486625 90 1056202 231707 41925 58 0 0 0 0 0 0 553 311348 17420
23.493375 0.194824 -0.205397 5.9982 46332 1.0000007 283363 104353 5 2 512938.39 9.3867431 22.1003 23.493375 91 1056377 232081 41808 59 0 0 0 0 0 0 553 311384 17206
23.5 0.194824 -0.204703 5.99822 46334 1.0000007 283214 104353 6 2 516694.65 9.3867431 22.1003 23.5 93 1057133 231960 42057 60 0 0 0 0 0 0 553 311213 17332
23.506625 0.194824 -0.20401 5.99824 46335 1.0000007 283155 104270 5 2 510762.14 9.3867431 22.1003 23.506625 85 1055357 231515 41367 61 0 0 0 0 0 0 553 311123 17133
