Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.4 0.194824 -0.319816 5.99318 23788 0.5000007 141631 51829 5 2 247615.15 9.3867431 22.1003 22.4 50 518546 113165 20226 0 0 0 0 0 0 0 553 155351 8306
22.406625 0.194824 -0.319123 5.99322 23789 0.5000007 141534 51724 4 2 248658.56 9.3867431 22.1003 22.406625 50 520720 113378 20256 1 0 0 0 0 0 0 553 155257 8341
22.413375 0.194824 -0.318417 5.99326 23790 0.5000007 141581 51775 5 2 244902.29 9.3867431 22.1003 22.413375 51 519966 112915 20330 2 0 0 0 0 0 0 553 155310 8215
22.42 0.194824 -0.317724 5.9933 23791 0.5000007 141584 51786 4 2 251788.77 9.3867431 22.1003 22.42 58 519732 112913 20545 3 0 0 0 0 0 0 553 155321 8446
22.426625 0.194824 -0.317031 5.99333 23792 0.5000007 141671 51805 4 2 251252.16 9.3867431 22.1003 22.426625 51 520062 113330 20373 4 0 0 0 0 0 0 553 155401 8428
22.433375 0.194824 -0.316325 5.99337 23793 0.5000007 141554 51750 4 2 246929.48 9.3867431 22.1003 22.433375 48 520466 113232 20449 5 0 0 0 0 0 0 553 155272 8283
22.44 0.194824 -0.315632 5.99341 23794 0.5000007 141432 51672 4 2 255753.72 9.3867431 22.1003 22.44 51 519718 113435 20483 6 0 0 0 0 0 0 553 155158 8579
22.446625 0.194824 -0.314939 5.99344 23795 0.5000007 140145 51154 3 2 250387.63 9.3867431 22.1003 22.446625 49 514497 112298 20147 7 0 0 0 0 0 0 553 153830 8399
22.453375 0.194824 -0.314233 5.99348 23796 0.5000007 141695 51822 4 2 254352.57 9.3867431 22.1003 22.453375 50 520537 113834 20539 8 0 0 0 0 0 0 553 155455 8532
22.46 0.194824 -0.31354 5.99352 23797 0.5000007 141743 51803 4 2 251669.53 9.3867431 22.1003 22.46 48 521237 113563 20285 9 0 0 0 0 0 0 553 155479 8442
22.466625 0.194824 -0.312847 5.99355 23798 0.5000007 141750 51873 4 2 250655.93 9.3867431 22.1003 22.466625 49 522490 114076 20413 10 0 0 0 0 0 0 553 155495 8408
22.473375 0.194824 -0.312141 5.99359 23799 0.5000007 141637 51753 4 2 250655.93 9.3867431 22.1003 22.473375 51 521469 113194 19960 11 0 0 0 0 0 0 553 155373 8408
22.48 0.194824 -0.311447 5.99363 23800 0.5000007 141650 51779 5 2 250000.08 9.3867431 22.1003 22.48 52 521360 113595 20319 12 0 0 0 0 0 0 553 155369 8386
22.486625 0.194824 -0.310754 5.99366 23801 0.5000007 141638 51735 4 2 250119.32 9.3867431 22.1003 22.486625 50 521277 113999 20254 13 0 0 0 0 0 0 553 155383 8390
22.493375 0.194824 -0.310048 5.9937 23802 0.5000007 141634 51755 5 2 256349.95 9.3867431 22.1003 22.493375 53 521789 113830 20595 14 0 0 0 0 0 0 553 155366 8599
22.5 0.194824 -0.309355 5.99373 23803 0.5000007 141675 51751 2 2 252355.19 9.3867431 22.1003 22.5 53 521789 114023 20692 15 0 0 0 0 0 0 553 155406 8465
22.506625 0.194824 -0.308662 5.99377 23804 0.5000007 141625 51771 5 2 250864.61 9.3867431 22.1003 22.506625 51 522988 114364 20481 16 0 0 0 0 0 0 553 155368 8415
22.513375 0.194824 -0.307956 5.99381 23805 0.5000007 141604 51758 4 2 254203.51 9.3867431 22.1003 22.513375 53 522049 113812 20546 17 0 0 0 0 0 0 553 155340 8527
22.52 0.194824 -0.307263 5.99384 23806 0.5000007 141508 51680 6 2 247018.92 9.3867431 22.1003 22.52 51 520749 113302 20349 18 0 0 0 0 0 0 553 155234 8286
22.526625 0.194824 -0.30657 5.99388 23807 0.5000007 141626 51772 5 2 254442.01 9.3867431 22.1003 22.526625 52 523035 114290 20480 19 0 0 0 0 0 0 553 155362 8535
22.533375 0.194824 -0.305864 5.99391 23808 0.5000007 141622 51721 4 2 255068.05 9.3867431 22.1003 22.533375 51 522874 114235 20739 20 0 0 0 0 0 0 553 155350 8556
22.54 0.194824 -0.305171 5.99395 23809 0.5000007 141625 51760 4 2 248807.61 9.3867431 22.1003 22.54 53 522930 114147 20511 21 0 0 0 0 0 0 553 155361 8346
22.546625 0.194824 -0.304478 5.99398 23810 0.5000007 141509 51710 5 2 255395.98 9.3867431 22.1003 22.546625 55 522161 114298 20624 22 0 0 0 0 0 0 553 155235 8567
22.553375 0.194824 -0.303772 5.99402 23811 0.5000007 141556 51699 5 2 252444.63 9.3867431 22.1003 22.553375 53 522303 114047 20397 23 0 0 0 0 0 0 553 155286 8468
22.56 0.194824 -0.303079 5.99405 23811 0.5000007 141584 51694 4 2 248121.95 9.3867431 22.1003 22.56 49 524458 114181 20202 24 0 0 0 0 0 0 553 155313 8323
22.566625 0.194824 -0.302385 5.99409 23813 0.5000007 141428 51618 4 2 257125.05 9.3867431 22.1003 22.566625 52 522113 114024 20706 25 0 0 0 0 0 0 553 155169 8625
22.573375 0.194824 -0.301679 5.99413 23814 0.5000007 141491 51672 3 2 252057.08 9.3867431 22.1003 22.573375 50 522785 114343 20369 26 0 0 0 0 0 0 553 155231 8455
22.58 0.194824 -0.300986 5.99416 23814 0.5000007 141561 51713 5 2 253219.73 9.3867431 22.1003 22.58 63 522145 114433 20626 27 0 0 0 0 0 0 553 155305 8494
22.586625 0.194824 -0.300293 5.99419 23815 0.5000007 141534 51709 5 2 250506.87 9.3867431 22.1003 22.586625 47 522422 114376 20638 28 0 0 0 0 0 0 553 155278 8403
22.593375 0.194824 -0.299587 5.99423 23816 0.5000007 141519 51703 5 2 253815.96 9.3867431 22.1003 22.593375 50 522932 114155 20589 29 0 0 0 0 0 0 553 155249 8514
