Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.78 6.23277e-05 -0.171066 5.99756 722 0.5000007 140637 103748 5 2 262670.01 9.3791289 22.1003 23.78 71 541432 118153 21251 0 0 0 0 0 0 0 553 154504 8811
23.79 6.14164e-05 -0.170019 5.99759 723 0.5000007 140660 103828 4 2 260195.64 9.3791289 22.1003 23.79 64 541447 118371 21338 1 0 0 0 0 0 0 553 154540 8728
23.8 6.05107e-05 -0.168973 5.99762 724 0.5000007 140710 103829 5 2 259390.73 9.3791289 22.1003 23.8 68 542164 117999 21165 2 0 0 0 0 0 0 553 154585 8701
23.81 5.96106e-05 -0.167927 5.99765 725 0.5000007 140648 103861 5 2 259003.18 9.3791289 22.1003 23.81 64 542868 118323 21182 3 0 0 0 0 0 0 553 154528 8688
23.82 5.8716e-05 -0.16688 5.99768 726 0.5000007 140566 103733 5 2 258973.37 9.3791289 22.1003 23.82 71 541927 117675 21113 4 0 0 0 0 0 0 553 154427 8687
23.83 5.7827e-05 -0.165834 5.99771 727 0.5000007 140636 103823 4 2 263415.3 9.3791289 22.1003 23.83 79 544333 118150 21462 5 0 0 0 0 0 0 553 154531 8836
23.84 5.69437e-05 -0.164788 5.99774 728 0.5000007 140568 103701 5 2 265323.24 9.3791289 22.1003 23.84 74 542475 118732 21297 6 0 0 0 0 0 0 553 154448 8900
23.85 5.60659e-05 -0.163741 5.99777 729 0.5000007 140641 103822 5 2 267767.79 9.3791289 22.1003 23.85 68 543929 118460 21622 7 0 0 0 0 0 0 553 154524 8982
23.86 5.51937e-05 -0.162695 5.9978 730 0.5000007 140528 103686 4 2 262908.5 9.3791289 22.1003 23.86 67 542967 118532 21362 8 0 0 0 0 0 0 553 154409 8819
23.87 5.43271e-05 -0.161649 5.99782 731 0.5000007 140537 103640 4 2 261596.79 9.3791289 22.1003 23.87 70 542921 118598 21168 9 0 0 0 0 0 0 553 154408 8775
23.88 5.34661e-05 -0.160602 5.99785 732 0.5000007 140541 103648 5 2 262997.94 9.3791289 22.1003 23.88 92 543703 118124 21363 10 0 0 0 0 0 0 553 154428 8822
23.89 5.26107e-05 -0.159556 5.99788 733 0.5000007 140471 103524 5 2 258645.44 9.3791289 22.1003 23.89 75 543924 118253 21069 11 0 0 0 0 0 0 553 154362 8676
23.9 5.17609e-05 -0.15851 5.99791 734 0.5000007 140536 103662 5 2 265949.28 9.3791289 22.1003 23.9 66 545312 118674 21287 12 0 0 0 0 0 0 553 154418 8921
23.91 5.09167e-05 -0.157463 5.99794 735 0.5000007 140440 103530 4 2 260881.31 9.3791289 22.1003 23.91 69 544296 118832 21454 13 0 0 0 0 0 0 553 154345 8751
23.92 5.0078e-05 -0.156417 5.99796 736 0.5000007 140531 103649 4 2 259629.22 9.3791289 22.1003 23.92 90 544366 119090 21223 14 0 0 0 0 0 0 553 154421 8709
23.93 4.9245e-05 -0.155371 5.99799 737 0.5000007 140368 103460 4 2 260583.2 9.3791289 22.1003 23.93 77 542261 118000 21134 15 0 0 0 0 0 0 553 154252 8741
23.94 4.84175e-05 -0.154324 5.99802 738 0.5000007 140334 103417 4 2 264756.82 9.3791289 22.1003 23.94 71 543814 118215 21360 16 0 0 0 0 0 0 553 154225 8881
23.95 4.75957e-05 -0.153278 5.99804 739 0.5000007 140387 103506 5 2 260374.51 9.3791289 22.1003 23.95 68 543800 119169 21439 17 0 0 0 0 0 0 553 154271 8734
23.96 4.67794e-05 -0.152232 5.99807 740 0.5000007 140416 103515 5 2 263504.73 9.3791289 22.1003 23.96 77 545696 119178 21331 18 0 0 0 0 0 0 553 154305 8839
23.97 4.59687e-05 -0.151185 5.9981 741 0.5000007 140329 103405 5 2 262193.02 9.3791289 22.1003 23.97 75 545607 119388 21617 19 0 0 0 0 0 0 553 154198 8795
23.98 4.51636e-05 -0.150139 5.99812 742 0.5000007 140324 103425 5 2 263802.85 9.3791289 22.1003 23.98 68 545610 119105 21348 20 0 0 0 0 0 0 553 154202 8849
23.99 4.43641e-05 -0.149092 5.99815 744 0.5000007 140446 103523 5 2 257005.8 9.3791289 22.1003 23.99 73 544681 119201 21231 21 0 0 0 0 0 0 553 154344 8621
