Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.8 0.17454 -0.277222 5.99497 68815 1.0000007 280557 102810 6 2 496959.37 9.38524 22.1003 22.8 88 1031013 224318 40524 0 0 0 0 0 0 0 553 308677 16670
22.806625 0.17454 -0.276528 5.995 68816 1.0000007 280632 102840 5 2 497019 9.38524 22.1003 22.806625 86 1030806 224125 40468 1 0 0 0 0 0 0 553 308726 16672
22.813375 0.17454 -0.275822 5.99503 68818 1.0000007 280672 102920 5 2 488343.82 9.38524 22.1003 22.813375 91 1031105 224094 40026 2 0 0 0 0 0 0 553 308812 16381
22.82 0.17454 -0.275129 5.99506 68819 1.0000007 280869 103072 4 2 497674.85 9.38524 22.1003 22.82 94 1032189 224022 40389 3 0 0 0 0 0 0 553 309003 16694
22.826625 0.17454 -0.274436 5.9951 68821 1.0000007 280805 103064 6 2 498986.56 9.38524 22.1003 22.826625 88 1033295 224595 40524 4 0 0 0 0 0 0 553 308944 16738
22.833375 0.17454 -0.27373 5.99513 68822 1.0000007 281171 103305 5 2 497287.3 9.38524 22.1003 22.833375 88 1033295 224673 40524 5 0 0 0 0 0 0 553 309302 16681
22.84 0.17454 -0.273036 5.99516 68824 1.0000007 281190 103345 6 2 493203.11 9.38524 22.1003 22.84 86 1034442 224715 40296 6 0 0 0 0 0 0 553 309308 16544
22.846625 0.17454 -0.272343 5.99519 68825 1.0000007 281267 103332 5 2 498300.89 9.38524 22.1003 22.846625 88 1035936 225357 40257 7 0 0 0 0 0 0 553 309369 16715
22.853375 0.17454 -0.271637 5.99522 68827 1.0000007 281181 103298 5 2 495438.98 9.38524 22.1003 22.853375 87 1035274 224905 40279 8 0 0 0 0 0 0 553 309281 16619
22.86 0.17454 -0.270944 5.99525 68828 1.0000007 281579 103594 5 2 500238.65 9.38524 22.1003 22.86 89 1036578 224772 40536 9 0 0 0 0 0 0 553 309692 16780
22.866625 0.17454 -0.27025 5.99529 68830 1.0000007 281544 103595 5 2 501192.62 9.38524 22.1003 22.866625 93 1037540 225314 40684 10 0 0 0 0 0 0 553 309644 16812
22.873375 0.17454 -0.269544 5.99532 68831 1.0000007 281752 103716 6 2 502146.59 9.38524 22.1003 22.873375 87 1039346 226329 40922 11 0 0 0 0 0 0 553 309861 16844
22.88 0.17454 -0.268851 5.99535 68833 1.0000007 281784 103772 6 2 494395.57 9.38524 22.1003 22.88 87 1039346 225531 40922 12 0 0 0 0 0 0 553 309901 16584
22.886625 0.17454 -0.268158 5.99538 68834 1.0000007 281936 103897 6 2 499314.49 9.38524 22.1003 22.886625 90 1040743 225746 40774 13 0 0 0 0 0 0 553 310032 16749
