Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23 -0.194824 -0.257039 5.99621 32338 0.5000007 141910 52334 5 2 256022.02 9.3867431 22.1003 23 85 516971 113999 20703 0 0 0 0 0 0 0 553 155399 8588
23.006625 -0.194824 -0.256346 5.99624 32339 0.5000007 142024 52388 5 2 254650.69 9.3867431 22.1003 23.006625 80 516959 114312 20765 1 0 0 0 0 0 0 553 155527 8542
23.013375 -0.194824 -0.255639 5.99627 32340 0.5000007 142001 52420 5 2 259003.18 9.3867431 22.1003 23.013375 80 518218 115014 20927 2 0 0 0 0 0 0 553 155515 8688
23.02 -0.194824 -0.254946 5.99629 32341 0.5000007 141905 52345 4 2 257065.43 9.3867431 22.1003 23.02 89 518176 114262 20774 3 0 0 0 0 0 0 553 155392 8623
23.026625 -0.194824 -0.254253 5.99632 32342 0.5000007 141941 52315 4 2 258764.69 9.3867431 22.1003 23.026625 87 518976 114595 20940 4 0 0 0 0 0 0 553 155440 8680
23.033375 -0.194824 -0.253546 5.99635 32343 0.5000007 142008 52378 5 2 252563.88 9.3867431 22.1003 23.033375 93 518521 114735 20663 5 0 0 0 0 0 0 553 155516 8472
23.04 -0.194824 -0.252853 5.99638 32344 0.5000007 141862 52294 4 2 259241.67 9.3867431 22.1003 23.04 80 519289 114355 20777 6 0 0 0 0 0 0 553 155348 8696
23.046625 -0.194824 -0.252159 5.99641 32345 0.5000007 141938 52358 4 2 257214.48 9.3867431 22.1003 23.046625 76 518245 114848 20861 7 0 0 0 0 0 0 553 155458 8628
23.053375 -0.194824 -0.251453 5.99644 32346 0.5000007 141938 52313 4 2 255723.9 9.3867431 22.1003 23.053375 71 519322 115164 20770 8 0 0 0 0 0 0 553 155449 8578
23.06 -0.194824 -0.25076 5.99647 32347 0.5000007 141998 52390 5 2 255694.09 9.3867431 22.1003 23.06 82 520545 114922 20820 9 0 0 0 0 0 0 553 155514 8577
23.066625 -0.194824 -0.250066 5.9965 32348 0.5000007 141902 52323 4 2 255187.3 9.3867431 22.1003 23.066625 73 520248 115767 21029 10 0 0 0 0 0 0 553 155388 8560
23.073375 -0.194824 -0.24936 5.99653 32349 0.5000007 141968 52384 4 2 259599.41 9.3867431 22.1003 23.073375 80 521099 115502 21073 11 0 0 0 0 0 0 553 155466 8708
23.08 -0.194824 -0.248666 5.99656 32350 0.5000007 141942 52367 4 2 256618.25 9.3867431 22.1003 23.08 76 520007 115854 20759 12 0 0 0 0 0 0 553 155453 8608
23.086625 -0.194824 -0.247973 5.99659 32351 0.5000007 141980 52343 4 2 259241.67 9.3867431 22.1003 23.086625 81 520960 115651 20921 13 0 0 0 0 0 0 553 155482 8696
23.093375 -0.194824 -0.247267 5.99662 32352 0.5000007 141850 52339 5 2 256439.38 9.3867431 22.1003 23.093375 80 521010 115932 21008 14 0 0 0 0 0 0 553 155359 8602
23.1 -0.194824 -0.246573 5.99664 32353 0.5000007 141873 52356 4 2 257810.72 9.3867431 22.1003 23.1 86 519953 115660 21035 15 0 0 0 0 0 0 553 155376 8648
23.106625 -0.194824 -0.24588 5.99667 32354 0.5000007 141869 52304 5 2 256290.33 9.3867431 22.1003 23.106625 66 522592 115548 20965 16 0 0 0 0 0 0 553 155364 8597
23.113375 -0.194824 -0.245173 5.9967 32355 0.5000007 141868 52301 5 2 263027.75 9.3867431 22.1003 23.113375 92 522221 116464 21317 17 0 0 0 0 0 0 553 155382 8823
23.12 -0.194824 -0.24448 5.99673 32356 0.5000007 141870 52342 5 2 257333.73 9.3867431 22.1003 23.12 83 520790 116292 20960 18 0 0 0 0 0 0 553 155377 8632
23.126625 -0.194824 -0.243787 5.99676 32357 0.5000007 141764 52228 4 2 257333.73 9.3867431 22.1003 23.126625 96 521241 116044 20950 19 0 0 0 0 0 0 553 155268 8632
23.133375 -0.194824 -0.24308 5.99679 32358 0.5000007 141856 52317 4 2 254799.75 9.3867431 22.1003 23.133375 84 522944 116131 21023 20 0 0 0 0 0 0 553 155350 8547
23.14 -0.194824 -0.242387 5.99682 32359 0.5000007 141823 52309 4 2 260970.75 9.3867431 22.1003 23.14 87 522332 116526 21114 21 0 0 0 0 0 0 553 155329 8754
23.146625 -0.194824 -0.241693 5.99684 32360 0.5000007 141842 52334 5 2 255813.34 9.3867431 22.1003 23.146625 78 524062 116717 20981 22 0 0 0 0 0 0 553 155347 8581
23.153375 -0.194824 -0.240987 5.99687 32361 0.5000007 141897 52335 4 2 259003.18 9.3867431 22.1003 23.153375 86 522352 116825 21270 23 0 0 0 0 0 0 553 155392 8688
23.16 -0.194824 -0.240293 5.9969 32362 0.5000007 141829 52263 5 2 262729.63 9.3867431 22.1003 23.16 86 523083 117243 21407 24 0 0 0 0 0 0 553 155329 8813
23.166625 -0.194824 -0.2396 5.99693 32363 0.5000007 141776 52277 4 2 260613.01 9.3867431 22.1003 23.166625 85 523545 117512 21259 25 0 0 0 0 0 0 553 155268 8742
23.173375 -0.194824 -0.238894 5.99696 32364 0.5000007 141744 52252 5 2 262431.51 9.3867431 22.1003 23.173375 75 523342 117007 21469 26 0 0 0 0 0 0 553 155214 8803
23.18 -0.194824 -0.2382 5.99698 32365 0.5000007 141824 52279 4 2 263922.09 9.3867431 22.1003 23.18 86 525138 117590 21344 27 0 0 0 0 0 0 553 155340 8853
23.186625 -0.194824 -0.237507 5.99701 32366 0.5000007 141771 52255 4 2 259867.72 9.3867431 22.1003 23.186625 83 524004 117835 21367 28 0 0 0 0 0 0 553 155262 8717
23.193375 -0.194824 -0.2368 5.99704 32367 0.5000007 141827 52278 5 2 267171.56 9.3867431 22.1003 23.193375 82 524927 117816 21716 29 0 0 0 0 0 0 553 155324 8962
23.2 -0.194824 -0.236107 5.99707 32368 0.5000007 141772 52281 5 2 269854.6 9.3867431 22.1003 23.2 88 525596 118301 21722 30 0 0 0 0 0 0 553 155275 9052
23.206625 -0.194824 -0.235413 5.99709 32369 0.5000007 141755 52209 4 2 262729.63 9.3867431 22.1003 23.206625 94 524475 117820 21560 31 0 0 0 0 0 0 553 155264 8813
23.213375 -0.194824 -0.234707 5.99712 32370 0.5000007 141813 52270 4 2 263683.6 9.3867431 22.1003 23.213375 82 525734 118335 21609 32 0 0 0 0 0 0 553 155326 8845
23.22 -0.194824 -0.234013 5.99715 32371 0.5000007 141708 52192 5 2 265889.66 9.3867431 22.1003 23.22 91 524888 118079 21417 33 0 0 0 0 0 0 553 155190 8919
23.226625 -0.194824 -0.23332 5.99718 32372 0.5000007 141790 52298 5 2 268214.97 9.3867431 22.1003 23.226625 79 526434 119047 21686 34 0 0 0 0 0 0 553 155289 8997
23.233375 -0.194824 -0.232613 5.9972 32373 0.5000007 141721 52230 3 2 265710.79 9.3867431 22.1003 23.233375 88 528348 119716 21730 35 0 0 0 0 0 0 553 155213 8913
23.24 -0.194824 -0.23192 5.99723 32374 0.5000007 141708 52226 5 2 261447.73 9.3867431 22.1003 23.24 84 526168 118420 21435 36 0 0 0 0 0 0 553 155204 8770
23.246625 -0.194824 -0.231227 5.99726 32375 0.5000007 141750 52280 5 2 267529.3 9.3867431 22.1003 23.246625 93 526590 119750 21767 37 0 0 0 0 0 0 553 155182 8974
23.253375 -0.194824 -0.23052 5.99728 32376 0.5000007 141708 52264 4 2 266456.08 9.3867431 22.1003 23.253375 84 527500 119090 21696 38 0 0 0 0 0 0 553 155207 8938
23.26 -0.194824 -0.229827 5.99731 32377 0.5000007 141734 52255 5 2 265203.99 9.3867431 22.1003 23.26 87 527815 119782 21795 39 0 0 0 0 0 0 553 155238 8896
23.266625 -0.194824 -0.229133 5.99734 32378 0.5000007 141694 52236 6 2 270927.82 9.3867431 22.1003 23.266625 74 528455 120505 21901 40 0 0 0 0 0 0 553 155225 9088
23.273375 -0.194824 -0.228427 5.99736 32379 0.5000007 141697 52226 4 2 274207.1 9.3867431 22.1003 23.273375 77 529547 120571 21915 41 0 0 0 0 0 0 553 155198 9198
23.28 -0.194824 -0.227733 5.99739 32379 0.5000007 141791 52295 4 2 271583.68 9.3867431 22.1003 23.28 82 530034 120311 22012 42 0 0 0 0 0 0 553 155289 9110
23.286625 -0.194824 -0.22704 5.99742 32380 0.5000007 141721 52258 6 2 269079.5 9.3867431 22.1003 23.286625 82 530248 120902 22101 43 0 0 0 0 0 0 553 155219 9026
23.293375 -0.194824 -0.226333 5.99744 32382 0.5000007 141722 52277 5 2 266396.46 9.3867431 22.1003 23.293375 78 530036 120522 21936 44 0 0 0 0 0 0 553 155235 8936
23.3 -0.194824 -0.22564 5.99747 32382 0.5000007 141712 52246 4 2 269258.37 9.3867431 22.1003 23.3 78 531430 121220 21859 45 0 0 0 0 0 0 553 155212 9032
23.306625 -0.194824 -0.224946 5.9975 32383 0.5000007 141717 52259 4 2 273104.07 9.3867431 22.1003 23.306625 88 531089 122039 22132 46 0 0 0 0 0 0 553 155203 9161
23.313375 -0.194824 -0.22424 5.99752 32384 0.5000007 141703 52229 4 2 274415.78 9.3867431 22.1003 23.313375 98 531331 122044 22127 47 0 0 0 0 0 0 553 155191 9205
23.32 -0.194824 -0.223546 5.99755 32385 0.5000007 141780 52273 4 2 269407.43 9.3867431 22.1003 23.32 80 532601 122300 22128 48 0 0 0 0 0 0 553 155280 9037
23.326625 -0.194824 -0.222853 5.99757 32386 0.5000007 141611 52174 4 2 269347.81 9.3867431 22.1003 23.326625 89 532361 121815 22013 49 0 0 0 0 0 0 553 155126 9035
23.333375 -0.194824 -0.222146 5.9976 32387 0.5000007 141695 52210 4 2 274743.71 9.3867431 22.1003 23.333375 74 534645 123085 22057 50 0 0 0 0 0 0 553 155208 9216
23.34 -0.194824 -0.221452 5.99763 32388 0.5000007 141691 52250 4 2 266605.14 9.3867431 22.1003 23.34 88 535005 123468 22237 51 0 0 0 0 0 0 553 155214 8943
23.346625 -0.194824 -0.220759 5.99765 32389 0.5000007 141657 52217 3 2 277158.45 9.3867431 22.1003 23.346625 90 536277 123812 22434 52 0 0 0 0 0 0 553 155175 9297
23.353375 -0.194824 -0.220052 5.99768 32390 0.5000007 141695 52248 4 2 275310.13 9.3867431 22.1003 23.353375 87 533762 124096 22301 53 0 0 0 0 0 0 553 155195 9235
23.36 -0.194824 -0.219359 5.9977 32391 0.5000007 141690 52258 4 2 272656.89 9.3867431 22.1003 23.36 69 536537 123984 21996 54 0 0 0 0 0 0 553 155196 9146
23.366625 -0.194824 -0.218665 5.99773 32392 0.5000007 141630 52196 3 2 274028.23 9.3867431 22.1003 23.366625 80 535414 124056 22136 55 0 0 0 0 0 0 553 155130 9192
23.373375 -0.194824 -0.217959 5.99775 32393 0.5000007 141716 52267 4 2 275041.82 9.3867431 22.1003 23.373375 86 538291 125157 22700 56 0 0 0 0 0 0 553 155216 9226
23.38 -0.194824 -0.217265 5.99778 32394 0.5000007 141693 52257 5 2 272239.53 9.3867431 22.1003 23.38 68 538319 125085 22352 57 0 0 0 0 0 0 553 155190 9132
23.386625 -0.194824 -0.216572 5.9978 32395 0.5000007 141731 52256 5 2 276353.53 9.3867431 22.1003 23.386625 74 538119 125239 22504 58 0 0 0 0 0 0 553 155242 9270
23.393375 -0.194824 -0.215865 5.99783 32396 0.5000007 141683 52211 5 2 276919.95 9.3867431 22.1003 23.393375 80 539146 126360 22520 59 0 0 0 0 0 0 553 155198 9289
23.4 -0.194824 -0.215172 5.99785 32397 0.5000007 141623 52164 4 2 281510.94 9.3867431 22.1003 23.4 104 541397 127062 22794 60 0 0 0 0 0 0 553 155124 9443
23.406625 -0.194824 -0.214478 5.99788 32398 0.5000007 141720 52236 5 2 276115.04 9.3867431 22.1003 23.406625 86 540899 127274 22549 61 0 0 0 0 0 0 553 155226 9262
23.413375 -0.194824 -0.213772 5.9979 32399 0.5000007 141621 52215 5 2 273581.05 9.3867431 22.1003 23.413375 67 542666 128079 22639 62 0 0 0 0 0 0 553 155130 9177
23.42 -0.194824 -0.213078 5.99793 32400 0.5000007 141650 52242 4 2 276562.21 9.3867431 22.1003 23.42 77 541337 128073 22673 63 0 0 0 0 0 0 553 155151 9277
23.426625 -0.194824 -0.212384 5.99795 32401 0.5000007 141573 52156 4 2 282554.34 9.3867431 22.1003 23.426625 74 543469 129252 23001 64 0 0 0 0 0 0 553 155082 9478
23.433375 -0.194824 -0.211678 5.99798 32402 0.5000007 141580 52151 4 2 279752.05 9.3867431 22.1003 23.433375 100 544497 129091 22906 65 0 0 0 0 0 0 553 155077 9384
23.44 -0.194824 -0.210984 5.998 32403 0.5000007 141689 52226 4 2 284283.42 9.3867431 22.1003 23.44 69 546280 130207 22952 66 0 0 0 0 0 0 553 155190 9536
23.446625 -0.194824 -0.210291 5.99803 32404 0.5000007 141530 52120 4 2 280884.9 9.3867431 22.1003 23.446625 76 547615 130407 22800 67 0 0 0 0 0 0 553 155029 9422
23.453375 -0.194824 -0.209584 5.99805 32405 0.5000007 141565 52178 4 2 279513.56 9.3867431 22.1003 23.453375 92 548651 130905 22994 68 0 0 0 0 0 0 553 155052 9376
23.46 -0.194824 -0.208891 5.99808 32406 0.5000007 141580 52146 4 2 285714.37 9.3867431 22.1003 23.46 76 551436 132663 23264 69 0 0 0 0 0 0 553 155099 9584
23.466625 -0.194824 -0.208197 5.9981 32407 0.5000007 141587 52184 4 2 284044.92 9.3867431 22.1003 23.466625 85 552127 132512 23016 70 0 0 0 0 0 0 553 155097 9528
23.473375 -0.194824 -0.20749 5.99812 32408 0.5000007 141611 52177 4 2 278947.14 9.3867431 22.1003 23.473375 111 555064 133587 23118 71 0 0 0 0 0 0 553 155117 9357
23.48 -0.194824 -0.206797 5.99815 32409 0.5000007 141635 52226 5 2 292183.49 9.3867431 22.1003 23.48 188 558982 135296 23558 72 0 0 0 0 0 0 553 155139 9801
23.486625 -0.194824 -0.206103 5.99817 32410 0.5000007 141522 52183 6 2 291855.56 9.3867431 22.1003 23.486625 338 560936 136056 23531 73 0 0 0 0 0 0 553 155028 9790
23.493375 -0.194824 -0.205397 5.9982 32411 0.5000007 141485 52100 3 2 291050.65 9.3867431 22.1003 23.493375 556 567116 137192 23353 74 0 0 0 0 0 0 553 155005 9763
23.5 -0.194824 -0.204703 5.99822 32412 0.5000007 141508 52123 4 2 289232.14 9.3867431 22.1003 23.5 875 576078 137975 23661 75 0 0 0 0 0 0 553 155006 9702
23.506625 -0.194824 -0.20401 5.99824 32413 0.5000007 141480 52150 4 2 286698.16 9.3867431 22.1003 23.506625 1202 584173 139888 23547 76 0 0 0 0 0 0 553 155001 9617
23.513375 -0.194824 -0.203303 5.99827 32414 0.5000007 141396 52085 4 2 290931.4 9.3867431 22.1003 23.513375 1925 594376 141214 23758 77 0 0 0 0 0 0 553 154882 9759
23.52 -0.194824 -0.202609 5.99829 32415 0.5000007 141516 52129 4 2 293137.46 9.3867431 22.1003 23.52 2590 609001 143253 23847 78 0 0 0 0 0 0 553 155040 9833
23.526625 -0.194824 -0.201916 5.99831 32416 0.5000007 141532 52126 5 2 292660.48 9.3867431 22.1003 23.526625 3625 628023 145925 23898 79 0 0 0 0 0 0 553 155029 9817
23.533375 -0.194824 -0.201209 5.99834 32417 0.5000007 141465 52078 4 2 301276.03 9.3867431 22.1003 23.533375 4438 645509 147891 24248 80 0 0 0 0 0 0 553 154968 10106
23.54 -0.194824 -0.200516 5.99836 32418 0.5000007 141522 52139 3 2 291199.71 9.3867431 22.1003 23.54 3773 646510 152209 24147 81 0 0 0 0 0 0 553 155028 9768
23.546625 -0.194824 -0.199822 5.99838 32419 0.5000007 141485 52130 5 2 295790.7 9.3867431 22.1003 23.546625 2480 642320 156652 24679 82 0 0 0 0 0 0 553 154998 9922
23.553375 -0.194824 -0.199115 5.99841 32420 0.5000007 141446 52122 5 2 302140.57 9.3867431 22.1003 23.553375 1432 634405 163771 24850 83 0 0 0 0 0 0 553 154965 10135
23.56 -0.194824 -0.198422 5.99843 32421 0.5000007 141398 52047 5 2 293316.33 9.3867431 22.1003 23.56 963 631580 174141 24558 84 0 0 0 0 0 0 553 154912 9839
23.566625 -0.194824 -0.197728 5.99845 32422 0.5000007 141332 51993 5 2 298801.67 9.3867431 22.1003 23.566625 1749 642881 195574 25057 85 0 0 0 0 0 0 553 154836 10023
23.573375 -0.194824 -0.197021 5.99848 32423 0.5000007 141451 52059 4 2 303899.45 9.3867431 22.1003 23.573375 7150 688725 246874 25360 86 0 0 0 0 0 0 553 154983 10194
23.58 -0.194824 -0.196328 5.9985 32424 0.5000007 141268 51947 4 2 309504.03 9.3867431 22.1003 23.58 25333 791411 356383 25596 87 0 0 0 0 0 0 553 154777 10382
23.586625 -0.194824 -0.195634 5.99852 32425 0.5000007 141308 52006 4 2 310696.5 9.3867431 22.1003 23.586625 37921 936959 504253 25764 88 0 0 0 0 0 0 553 154831 10422
23.593375 -0.194824 -0.194928 5.99855 32426 0.5000007 141350 52011 4 2 315913.53 9.3867431 22.1003 23.593375 33675 1077033 646300 26258 89 0 0 0 0 0 0 553 154868 10597
23.6 -0.194824 -0.194234 5.99857 32427 0.5000007 141423 52074 4 2 316807.87 9.3867431 22.1003 23.6 47082 1214765 785561 26833 90 0 0 0 0 0 0 553 154923 10627
23.606625 -0.194824 -0.19354 5.99859 32428 0.5000007 141233 51953 4 2 321279.61 9.3867431 22.1003 23.606625 41924 1373178 946362 26961 91 0 0 0 0 0 0 553 154747 10777
23.613375 -0.194824 -0.192834 5.99861 32429 0.5000007 141326 51951 4 2 327838.17 9.3867431 22.1003 23.613375 54342 1561900 1135473 27778 92 0 0 0 0 0 0 553 154822 10997
23.62 -0.194824 -0.19214 5.99864 32430 0.5000007 141418 52015 5 2 329895.17 9.3867431 22.1003 23.62 57172 1660082 1233403 28807 93 0 0 0 0 0 0 553 154945 11066
23.626625 -0.194824 -0.191446 5.99866 32430 0.5000007 141389 52065 5 2 332250.28 9.3867431 22.1003 23.626625 50147 1640772 1216502 29706 94 0 0 0 0 0 0 553 154880 11145
23.633375 -0.194824 -0.19074 5.99868 32431 0.5000007 141336 52012 5 2 337675.99 9.3867431 22.1003 23.633375 43316 1598860 1174616 30996 95 0 0 0 0 0 0 553 154839 11327
23.64 -0.194824 -0.190046 5.9987 32432 0.5000007 141314 51992 5 2 341998.68 9.3867431 22.1003 23.64 45757 1539736 1115201 32221 96 0 0 0 0 0 0 553 154805 11472
23.646625 -0.194824 -0.189352 5.99872 32433 0.5000007 141260 51951 4 2 351508.58 9.3867431 22.1003 23.646625 50874 1443290 1019848 33559 97 0 0 0 0 0 0 553 154762 11791
23.653375 -0.194824 -0.188646 5.99875 32434 0.5000007 141219 51923 4 2 358454.68 9.3867431 22.1003 23.653375 44380 1302596 880414 35233 98 0 0 0 0 0 0 553 154749 12024
23.66 -0.194824 -0.187952 5.99877 32435 0.5000007 138947 51040 4 2 362449.43 9.3867431 22.1003 23.66 26580 1142417 726592 36550 99 0 0 0 0 0 0 553 152354 12158
23.666625 -0.194824 -0.187259 5.99879 32436 0.5000007 141874 52170 6 2 385642.86 9.3867431 22.1003 23.666625 15324 1046937 621649 39219 100 0 0 0 0 0 0 553 155361 12936
23.673375 -0.194824 -0.186552 5.99881 32437 0.5000007 141829 52123 5 2 409462.33 9.3867431 22.1003 23.673375 9484 937242 511718 40884 101 0 0 0 0 0 0 553 155342 13735
23.68 -0.194824 -0.185858 5.99883 32438 0.5000007 141804 52151 4 2 432775 9.3867431 22.1003 23.68 5637 843250 418526 42403 102 0 0 0 0 0 0 553 155304 14517
23.686625 -0.194824 -0.185165 5.99886 32439 0.5000007 141824 52164 5 2 470009.69 9.3867431 22.1003 23.686625 3353 773476 346659 43780 103 0 0 0 0 0 0 553 155317 15766
23.693375 -0.194824 -0.184458 5.99888 32440 0.5000007 141799 52153 5 2 497317.11 9.3867431 22.1003 23.693375 1895 724692 298050 44360 104 0 0 0 0 0 0 553 155309 16682
23.7 -0.194824 -0.183764 5.9989 32441 0.5000007 141792 52083 5 2 538427.31 9.3867431 22.1003 23.7 1178 691090 265195 45502 105 0 0 0 0 0 0 553 155284 18061
23.706625 -0.194824 -0.183071 5.99892 32442 0.5000007 141789 52093 4 2 563230.56 9.3867431 22.1003 23.706625 738 667817 241148 45966 106 0 0 0 0 0 0 553 155294 18893
23.713375 -0.194824 -0.182364 5.99894 32443 0.5000007 141804 52171 5 2 589822.51 9.3867431 22.1003 23.713375 487 652166 224723 46194 107 0 0 0 0 0 0 553 155294 19785
23.72 -0.194824 -0.18167 5.99896 32444 0.5000007 141757 52092 5 2 605264.91 9.3867431 22.1003 23.72 387 639288 212460 45820 108 0 0 0 0 0 0 553 155248 20303
23.726625 -0.194824 -0.180976 5.99898 32445 0.5000007 141707 52068 4 2 619067.69 9.3867431 22.1003 23.726625 324 632820 205646 45779 109 0 0 0 0 0 0 553 155206 20766
23.733375 -0.194824 -0.18027 5.999 32446 0.5000007 141690 52058 5 2 629620.99 9.3867431 22.1003 23.733375 275 629352 201239 45804 110 0 0 0 0 0 0 553 155221 21120
23.74 -0.194824 -0.179576 5.99902 32447 0.5000007 141704 52058 4 2 628488.15 9.3867431 22.1003 23.74 232 623923 195586 45061 111 0 0 0 0 0 0 553 155191 21082
23.746625 -0.194824 -0.178882 5.99905 32448 0.5000007 141654 52020 5 2 633079.14 9.3867431 22.1003 23.746625 214 622529 193719 45492 112 0 0 0 0 0 0 553 155176 21236
23.753375 -0.194824 -0.178176 5.99907 32449 0.5000007 141557 51968 4 2 619514.86 9.3867431 22.1003 23.753375 189 619191 190578 44862 113 0 0 0 0 0 0 553 155058 20781
23.76 -0.194824 -0.177482 5.99909 32450 0.5000007 141619 52024 4 2 611316.67 9.3867431 22.1003 23.76 181 621257 190154 45551 114 0 0 0 0 0 0 553 155119 20506
23.766625 -0.194824 -0.176788 5.99911 32451 0.5000007 141481 51912 5 2 594979.91 9.3867431 22.1003 23.766625 176 619896 188847 45286 115 0 0 0 0 0 0 553 155004 19958
23.773375 -0.194824 -0.176082 5.99913 32452 0.5000007 141600 51993 4 2 576735.21 9.3867431 22.1003 23.773375 160 621091 190058 46271 116 0 0 0 0 0 0 553 155104 19346
23.78 -0.194824 -0.175388 5.99915 32453 0.5000007 141524 51958 4 2 562902.63 9.3867431 22.1003 23.78 221 623332 191970 47417 117 0 0 0 0 0 0 553 155033 18882
23.786625 -0.194824 -0.174694 5.99917 32454 0.5000007 141451 51883 5 2 542123.95 9.3867431 22.1003 23.786625 337 626170 193554 48607 118 0 0 0 0 0 0 553 154972 18185
23.793375 -0.194824 -0.173988 5.99919 32455 0.5000007 141530 51888 4 2 534432.55 9.3867431 22.1003 23.793375 429 629833 196138 50017 119 0 0 0 0 0 0 553 155063 17927
23.8 -0.194824 -0.173294 5.99921 32456 0.5000007 141401 51842 4 2 508079.1 9.3867431 22.1003 23.8 441 630317 197016 49527 120 0 0 0 0 0 0 553 154934 17043
23.806625 -0.194824 -0.1726 5.99923 32457 0.5000007 141324 51774 5 2 491742.34 9.3867431 22.1003 23.806625 420 628620 195139 47415 121 0 0 0 0 0 0 553 154850 16495
23.813375 -0.194824 -0.171893 5.99925 32458 0.5000007 141377 51829 4 2 475763.32 9.3867431 22.1003 23.813375 298 629616 194094 45331 122 0 0 0 0 0 0 553 154915 15959
23.82 -0.194824 -0.1712 5.99927 32459 0.5000007 141295 51701 4 2 453613.31 9.3867431 22.1003 23.82 336 628319 191871 43095 123 0 0 0 0 0 0 553 154801 15216
