Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23 -0.194824 -0.257039 5.99621 30193 0.5000007 143016 52964 4 2 246363.06 9.3867431 22.1003 23 79 518815 113133 20249 0 0 0 0 0 0 0 553 156418 8264
23.006625 -0.194824 -0.256346 5.99624 30194 0.5000007 143081 53013 5 2 245558.15 9.3867431 22.1003 23.006625 84 517955 113138 20254 1 0 0 0 0 0 0 553 156507 8237
23.013375 -0.194824 -0.255639 5.99627 30195 0.5000007 143005 52971 4 2 250775.18 9.3867431 22.1003 23.013375 82 519197 113368 20524 2 0 0 0 0 0 0 553 156426 8412
23.02 -0.194824 -0.254946 5.99629 30196 0.5000007 143053 53002 5 2 249940.45 9.3867431 22.1003 23.02 82 519367 113536 20332 3 0 0 0 0 0 0 553 156479 8384
23.026625 -0.194824 -0.254253 5.99632 30197 0.5000007 143008 52946 4 2 244544.55 9.3867431 22.1003 23.026625 82 518146 113091 20185 4 0 0 0 0 0 0 553 156439 8203
23.033375 -0.194824 -0.253546 5.99635 30198 0.5000007 143078 52963 5 2 253965.02 9.3867431 22.1003 23.033375 78 520516 114001 20631 5 0 0 0 0 0 0 553 156502 8519
23.04 -0.194824 -0.252853 5.99638 30199 0.5000007 142942 52915 4 2 252086.89 9.3867431 22.1003 23.04 69 519719 113738 20446 6 0 0 0 0 0 0 553 156375 8456
23.046625 -0.194824 -0.252159 5.99641 30200 0.5000007 142980 52949 4 2 251460.85 9.3867431 22.1003 23.046625 79 519376 113121 20423 7 0 0 0 0 0 0 553 156374 8435
23.053375 -0.194824 -0.251453 5.99644 30201 0.5000007 143079 52977 5 2 252981.24 9.3867431 22.1003 23.053375 80 519826 113289 20433 8 0 0 0 0 0 0 553 156504 8486
23.06 -0.194824 -0.25076 5.99647 30202 0.5000007 142962 52879 4 2 252593.69 9.3867431 22.1003 23.06 95 521921 114342 20592 9 0 0 0 0 0 0 553 156394 8473
23.066625 -0.194824 -0.250066 5.9965 30203 0.5000007 142987 52910 4 2 248300.82 9.3867431 22.1003 23.066625 102 520623 113405 20376 10 0 0 0 0 0 0 553 156438 8329
23.073375 -0.194824 -0.24936 5.99653 30204 0.5000007 142955 52910 4 2 252683.12 9.3867431 22.1003 23.073375 67 521226 114380 20585 11 0 0 0 0 0 0 553 156374 8476
23.08 -0.194824 -0.248666 5.99656 30205 0.5000007 142949 52880 5 2 248986.48 9.3867431 22.1003 23.08 76 521136 113847 20350 12 0 0 0 0 0 0 553 156380 8352
23.086625 -0.194824 -0.247973 5.99659 30205 0.5000007 142944 52911 4 2 255515.22 9.3867431 22.1003 23.086625 73 522428 113943 20669 13 0 0 0 0 0 0 553 156390 8571
23.093375 -0.194824 -0.247267 5.99662 30206 0.5000007 142899 52848 5 2 249910.64 9.3867431 22.1003 23.093375 87 519950 113538 20330 14 0 0 0 0 0 0 553 156316 8383
23.1 -0.194824 -0.246573 5.99664 30208 0.5000007 142983 52929 5 2 253696.72 9.3867431 22.1003 23.1 81 522450 114362 20674 15 0 0 0 0 0 0 553 156422 8510
