Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
22.8 0.17454 -0.277222 5.99497 64701 1.0000007 280497 102409 6 2 496780.5 9.38524 22.1003 22.8 91 1029433 223719 40308 0 0 0 0 0 0 0 553 308505 16664
22.806625 0.17454 -0.276528 5.995 64702 1.0000007 280218 102205 7 2 502057.16 9.38524 22.1003 22.806625 97 1029508 224354 40328 1 0 0 0 0 0 0 553 308225 16841
22.813375 0.17454 -0.275822 5.99503 64704 1.0000007 280125 102139 7 2 489267.98 9.38524 22.1003 22.813375 94 1028609 224001 40325 2 0 0 0 0 0 0 553 308139 16412
22.82 0.17454 -0.275129 5.99506 64705 1.0000007 280423 102413 5 2 496542.01 9.38524 22.1003 22.82 87 1028442 224370 40411 3 0 0 0 0 0 0 553 308418 16656
22.826625 0.17454 -0.274436 5.9951 64707 1.0000007 280593 102475 5 2 492755.94 9.38524 22.1003 22.826625 90 1030810 224701 40129 4 0 0 0 0 0 0 553 308608 16529
22.833375 0.17454 -0.27373 5.99513 64708 1.0000007 280052 102181 6 2 497585.42 9.38524 22.1003 22.833375 91 1028924 224027 40478 5 0 0 0 0 0 0 553 308048 16691
22.84 0.17454 -0.273036 5.99516 64710 1.0000007 280288 102324 6 2 497645.04 9.38524 22.1003 22.84 85 1029361 224929 40277 6 0 0 0 0 0 0 553 308245 16693
22.846625 0.17454 -0.272343 5.99519 64711 1.0000007 281189 102946 6 2 502027.34 9.38524 22.1003 22.846625 91 1033290 224450 40735 7 0 0 0 0 0 0 553 309210 16840
22.853375 0.17454 -0.271637 5.99522 64713 1.0000007 281456 103126 6 2 497913.34 9.38524 22.1003 22.853375 88 1035061 226276 40641 8 0 0 0 0 0 0 553 309500 16702
22.86 0.17454 -0.270944 5.99525 64714 1.0000007 280451 102493 5 2 499523.17 9.38524 22.1003 22.86 96 1031596 224228 40331 9 0 0 0 0 0 0 553 308419 16756
22.866625 0.17454 -0.27025 5.99529 64716 1.0000007 280649 102719 5 2 499135.62 9.38524 22.1003 22.866625 87 1033529 225570 40796 10 0 0 0 0 0 0 553 308611 16743
22.873375 0.17454 -0.269544 5.99532 64717 1.0000007 281462 103279 6 2 502444.71 9.38524 22.1003 22.873375 96 1038023 225442 40615 11 0 0 0 0 0 0 553 309501 16854
22.88 0.17454 -0.268851 5.99535 64719 1.0000007 281300 103258 5 2 506051.91 9.38524 22.1003 22.88 91 1035363 225470 40605 12 0 0 0 0 0 0 553 309308 16975
22.886625 0.17454 -0.268158 5.99538 64720 1.0000007 280648 102649 6 2 498628.82 9.38524 22.1003 22.886625 89 1032433 225715 40481 13 0 0 0 0 0 0 553 308629 16726
22.893375 0.17454 -0.267451 5.99541 64722 1.0000007 280638 102708 6 2 499225.05 9.38524 22.1003 22.893375 92 1033743 225540 40618 14 0 0 0 0 0 0 553 308594 16746
22.9 0.17454 -0.266758 5.99544 64723 1.0000007 281214 103039 6 2 498718.26 9.38524 22.1003 22.9 98 1034925 225790 40769 15 0 0 0 0 0 0 553 309251 16729
22.906625 0.17454 -0.266065 5.99547 64725 1.0000007 281497 103381 5 2 494991.81 9.38524 22.1003 22.906625 88 1037132 226232 40446 16 0 0 0 0 0 0 553 309508 16604
22.913375 0.17454 -0.265358 5.9955 64726 1.0000007 281309 103338 6 2 502832.26 9.38524 22.1003 22.913375 87 1038557 225809 40738 17 0 0 0 0 0 0 553 309243 16867
22.92 0.17454 -0.264665 5.99554 64728 1.0000007 281597 103405 5 2 508615.71 9.38524 22.1003 22.92 93 1039915 227195 40988 18 0 0 0 0 0 0 553 309587 17061
22.926625 0.17454 -0.263972 5.99557 64729 1.0000007 281329 103383 5 2 492577.07 9.38524 22.1003 22.926625 91 1037674 226016 40359 19 0 0 0 0 0 0 553 309295 16523
22.933375 0.17454 -0.263266 5.9956 64731 1.0000007 280680 102848 5 2 506648.14 9.38524 22.1003 22.933375 87 1035719 226063 40625 20 0 0 0 0 0 0 553 308596 16995
22.94 0.17454 -0.262572 5.99563 64732 1.0000007 281221 103257 6 2 503040.94 9.38524 22.1003 22.94 96 1038104 227051 40957 21 0 0 0 0 0 0 553 309143 16874
22.946625 0.17454 -0.261879 5.99566 64733 1.0000007 281830 103588 7 2 500059.78 9.38524 22.1003 22.946625 92 1040984 227553 40641 22 0 0 0 0 0 0 553 309820 16774
22.953375 0.17454 -0.261173 5.99569 64735 1.0000007 281715 103622 5 2 497257.49 9.38524 22.1003 22.953375 88 1040155 227022 40506 23 0 0 0 0 0 0 553 309698 16680
22.96 0.17454 -0.260479 5.99572 64736 1.0000007 281415 103301 5 2 497585.42 9.38524 22.1003 22.96 89 1038507 226709 40816 24 0 0 0 0 0 0 553 309386 16691
22.966625 0.17454 -0.259786 5.99575 64738 1.0000007 281690 103599 5 2 507095.32 9.38524 22.1003 22.966625 85 1041118 227736 41245 25 0 0 0 0 0 0 553 309656 17010
22.973375 0.17454 -0.25908 5.99578 64739 1.0000007 281369 103393 5 2 506320.21 9.38524 22.1003 22.973375 88 1039724 227439 41194 26 0 0 0 0 0 0 553 309309 16984
22.98 0.17454 -0.258387 5.99581 64741 1.0000007 282065 103852 5 2 504263.21 9.38524 22.1003 22.98 100 1044239 227260 40734 27 0 0 0 0 0 0 553 310043 16915
